table_name,column_name,data_type,xml_column_name,position,numeric_precision,numeric_scale,character_maximum_length,is_nullable,is_pk,is_fk,fk_table_name,fk_column_name,class_name
tbl_abundance_elements,abundance_element_id,integer,abundanceElementId,1,32,0,0,False,True,False,,,java.lang.Integer
tbl_abundance_elements,record_type_id,integer,recordTypeId,2,32,0,0,True,False,True,tbl_record_types,record_type_id,TblRecordTypes
tbl_abundance_elements,element_name,character varying,elementName,3,0,0,100,False,False,False,,,java.lang.String
tbl_abundance_elements,element_description,text,elementDescription,4,0,0,0,True,False,False,,,java.lang.String
tbl_abundance_elements,date_updated,timestamp with time zone,dateUpdated,5,0,0,0,True,False,False,,,java.util.Date
tbl_abundance_ident_levels,abundance_ident_level_id,integer,abundanceIdentLevelId,1,32,0,0,False,True,False,,,java.lang.Integer
tbl_abundance_ident_levels,abundance_id,bigint,abundanceId,2,64,0,0,False,False,True,tbl_abundances,abundance_id,TblAbundances
tbl_abundance_ident_levels,identification_level_id,integer,identificationLevelId,3,32,0,0,False,False,True,tbl_identification_levels,identification_level_id,TblIdentificationLevels
tbl_abundance_ident_levels,date_updated,timestamp with time zone,dateUpdated,4,0,0,0,True,False,False,,,java.util.Date
tbl_abundance_modifications,abundance_modification_id,integer,abundanceModificationId,1,32,0,0,False,True,False,,,java.lang.Integer
tbl_abundance_modifications,abundance_id,integer,abundanceId,2,32,0,0,False,False,True,tbl_abundances,abundance_id,TblAbundances
tbl_abundance_modifications,modification_type_id,integer,modificationTypeId,3,32,0,0,False,False,True,tbl_modification_types,modification_type_id,TblModificationTypes
tbl_abundance_modifications,date_updated,timestamp with time zone,dateUpdated,4,0,0,0,True,False,False,,,java.util.Date
tbl_abundance_properties,abundance_property_id,integer,abundancePropertyId,1,32,0,0,False,True,False,,,java.lang.Integer
tbl_abundance_properties,abundance_id,integer,abundanceId,2,32,0,0,False,False,True,tbl_abundances,abundance_id,TblAbundances
tbl_abundance_properties,property_type_id,integer,propertyTypeId,3,32,0,0,False,False,True,tbl_property_types,property_type_id,TblPropertyTypes
tbl_abundance_properties,property_value,text,propertyValue,4,0,0,0,False,False,False,,,java.lang.String
tbl_abundances,abundance_id,bigint,abundanceId,1,64,0,0,False,True,False,,,java.lang.Integer
tbl_abundances,taxon_id,integer,taxonId,2,32,0,0,False,False,True,tbl_taxa_tree_master,taxon_id,TblTaxaTreeMaster
tbl_abundances,analysis_entity_id,bigint,analysisEntityId,3,64,0,0,False,False,True,tbl_analysis_entities,analysis_entity_id,TblAnalysisEntities
tbl_abundances,abundance_element_id,integer,abundanceElementId,4,32,0,0,True,False,True,tbl_abundance_elements,abundance_element_id,TblAbundanceElements
tbl_abundances,abundance,integer,abundance,5,32,0,0,False,False,False,,,java.lang.Integer
tbl_abundances,date_updated,timestamp with time zone,dateUpdated,6,0,0,0,True,False,False,,,java.util.Date
tbl_activity_types,activity_type_id,integer,activityTypeId,1,32,0,0,False,True,False,,,java.lang.Integer
tbl_activity_types,activity_type,character varying,activityType,2,0,0,50,True,False,False,,,java.lang.String
tbl_activity_types,description,text,description,3,0,0,0,True,False,False,,,java.lang.String
tbl_activity_types,date_updated,timestamp with time zone,dateUpdated,4,0,0,0,True,False,False,,,java.util.Date
tbl_age_types,age_type_id,integer,ageTypeId,1,32,0,0,False,True,False,,,java.lang.Integer
tbl_age_types,age_type,character varying,ageType,2,0,0,150,False,False,False,,,java.lang.String
tbl_age_types,description,text,description,3,0,0,0,True,False,False,,,java.lang.String
tbl_age_types,date_updated,timestamp with time zone,dateUpdated,4,0,0,0,True,False,False,,,java.util.Date
tbl_aggregate_datasets,aggregate_dataset_id,integer,aggregateDatasetId,1,32,0,0,False,True,False,,,java.lang.Integer
tbl_aggregate_datasets,aggregate_order_type_id,integer,aggregateOrderTypeId,2,32,0,0,False,False,True,tbl_aggregate_order_types,aggregate_order_type_id,TblAggregateOrderTypes
tbl_aggregate_datasets,biblio_id,integer,biblioId,3,32,0,0,True,False,True,tbl_biblio,biblio_id,TblBiblio
tbl_aggregate_datasets,aggregate_dataset_name,character varying,aggregateDatasetName,4,0,0,255,True,False,False,,,java.lang.String
tbl_aggregate_datasets,date_updated,timestamp with time zone,dateUpdated,5,0,0,0,True,False,False,,,java.util.Date
tbl_aggregate_datasets,description,text,description,6,0,0,0,True,False,False,,,java.lang.String
tbl_aggregate_datasets,aggregate_dataset_uuid,uuid,aggregateDatasetUuid,7,0,0,0,False,False,False,,,java.util.UUID
tbl_aggregate_order_types,aggregate_order_type_id,integer,aggregateOrderTypeId,1,32,0,0,False,True,False,,,java.lang.Integer
tbl_aggregate_order_types,aggregate_order_type,character varying,aggregateOrderType,2,0,0,60,False,False,False,,,java.lang.String
tbl_aggregate_order_types,date_updated,timestamp with time zone,dateUpdated,3,0,0,0,True,False,False,,,java.util.Date
tbl_aggregate_order_types,description,text,description,4,0,0,0,True,False,False,,,java.lang.String
tbl_aggregate_sample_ages,aggregate_sample_age_id,integer,aggregateSampleAgeId,1,32,0,0,False,True,False,,,java.lang.Integer
tbl_aggregate_sample_ages,aggregate_dataset_id,integer,aggregateDatasetId,2,32,0,0,False,False,True,tbl_aggregate_datasets,aggregate_dataset_id,TblAggregateDatasets
tbl_aggregate_sample_ages,analysis_entity_age_id,integer,analysisEntityAgeId,3,32,0,0,False,False,True,tbl_analysis_entity_ages,analysis_entity_age_id,TblAnalysisEntityAges
tbl_aggregate_sample_ages,date_updated,timestamp with time zone,dateUpdated,4,0,0,0,True,False,False,,,java.util.Date
tbl_aggregate_samples,aggregate_sample_id,integer,aggregateSampleId,1,32,0,0,False,True,False,,,java.lang.Integer
tbl_aggregate_samples,aggregate_dataset_id,integer,aggregateDatasetId,2,32,0,0,False,False,True,tbl_aggregate_datasets,aggregate_dataset_id,TblAggregateDatasets
tbl_aggregate_samples,analysis_entity_id,bigint,analysisEntityId,3,64,0,0,False,False,True,tbl_analysis_entities,analysis_entity_id,TblAnalysisEntities
tbl_aggregate_samples,aggregate_sample_name,character varying,aggregateSampleName,4,0,0,50,True,False,False,,,java.lang.String
tbl_aggregate_samples,date_updated,timestamp with time zone,dateUpdated,5,0,0,0,True,False,False,,,java.util.Date
tbl_alt_ref_types,alt_ref_type_id,integer,altRefTypeId,1,32,0,0,False,True,False,,,java.lang.Integer
tbl_alt_ref_types,alt_ref_type,character varying,altRefType,2,0,0,50,False,False,False,,,java.lang.String
tbl_alt_ref_types,date_updated,timestamp with time zone,dateUpdated,3,0,0,0,True,False,False,,,java.util.Date
tbl_alt_ref_types,description,text,description,4,0,0,0,True,False,False,,,java.lang.String
tbl_analysis_boolean_values,analysis_boolean_value_id,integer,analysisBooleanValueId,1,32,0,0,False,True,False,,,java.lang.Integer
tbl_analysis_boolean_values,analysis_value_id,bigint,analysisValueId,2,64,0,0,False,False,True,tbl_analysis_values,analysis_value_id,TblAnalysisValues
tbl_analysis_boolean_values,qualifier,text,qualifier,3,0,0,0,True,False,False,,,java.lang.String
tbl_analysis_boolean_values,value,boolean,value,4,0,0,0,True,False,False,,,java.lang.Boolean
tbl_analysis_categorical_values,analysis_categorical_value_id,bigint,analysisCategoricalValueId,1,64,0,0,False,True,False,,,java.lang.Integer
