system_id,sample_coordinate_id,sample_id,sample_id,Befu,ProbNr,ProjektNr,coordinate_type,coordinate_value
1,,1,1,P16,18_0025_0003,18_0025,KoordX,0.0
2,,2,2,P18,18_0025_0004,18_0025,KoordX,0.0
3,,3,3,P20,18_0025_0005,18_0025,KoordX,0.0
4,,4,4,P5,18_0025_0001,18_0025,KoordX,0.0
5,,5,5,P6,18_0025_0002,18_0025,KoordX,0.0
6,,6,6,A11148,19_0013_0013,19_0013,KoordX,0.0
7,,7,7,A11148,19_0013_0014,19_0013,KoordX,0.0
8,,8,8,A11148,19_0013_0015,19_0013,KoordX,0.0
9,,9,9,A11148,19_0013_0020,19_0013,KoordX,0.0
10,,10,10,A479,19_0013_0010,19_0013,KoordX,0.0
11,,11,11,A479,19_0013_0011,19_0013,KoordX,0.0
12,,12,12,A479,19_0013_0012,19_0013,KoordX,0.0
13,,13,13,A479,19_0013_0019,19_0013,KoordX,0.0
14,,14,14,A6214,19_0013_0007,19_0013,KoordX,0.0
15,,15,15,A6214,19_0013_0008,19_0013,KoordX,0.0
16,,16,16,A6214,19_0013_0009,19_0013,KoordX,0.0
17,,17,17,A6214,19_0013_0018,19_0013,KoordX,0.0
18,,18,18,A8090,19_0013_0004,19_0013,KoordX,0.0
19,,19,19,A8090,19_0013_0005,19_0013,KoordX,0.0
20,,20,20,A8090,19_0013_0006,19_0013,KoordX,0.0
21,,21,21,A8090,19_0013_0017,19_0013,KoordX,0.0
22,,22,22,A9063,19_0013_0001,19_0013,KoordX,0.0
23,,23,23,A9063,19_0013_0002,19_0013,KoordX,0.0
24,,24,24,A9063,19_0013_0003,19_0013,KoordX,0.0
25,,25,25,A9063,19_0013_0016,19_0013,KoordX,0.0
26,,26,26,A10143,19_0014_0040,19_0014,KoordX,0.0
27,,27,27,A10153,19_0014_0037,19_0014,KoordX,0.0
28,,28,28,A10189,19_0014_0042,19_0014,KoordX,0.0
29,,29,29,A10229,19_0014_0039,19_0014,KoordX,0.0
30,,30,30,A10697,19_0014_0067,19_0014,KoordX,0.0
31,,31,31,A10990,19_0014_0055,19_0014,KoordX,0.0
32,,32,32,A11339,19_0014_0068,19_0014,KoordX,0.0
33,,33,33,A1196,19_0014_0044,19_0014,KoordX,0.0
34,,34,34,A12024,19_0014_0056,19_0014,KoordX,0.0
35,,35,35,A12024,19_0014_0057,19_0014,KoordX,0.0
36,,36,36,A12034,19_0014_0058,19_0014,KoordX,0.0
37,,37,37,A12435,19_0014_0069,19_0014,KoordX,0.0
38,,38,38,A13064,19_0014_0071,19_0014,KoordX,0.0
39,,39,39,A13200,19_0014_0041,19_0014,KoordX,0.0
40,,40,40,A13299,19_0014_0072,19_0014,KoordX,0.0
41,,41,41,A13837,19_0014_0060,19_0014,KoordX,0.0
42,,42,42,A15333,19_0014_0061,19_0014,KoordX,0.0
43,,43,43,A15344,19_0014_0074,19_0014,KoordX,0.0
44,,44,44,A15554,19_0014_0075,19_0014,KoordX,0.0
45,,45,45,A15736,19_0014_0059,19_0014,KoordX,0.0
46,,46,46,A16771,19_0014_0008,19_0014,KoordX,0.0
47,,47,47,A16783,19_0014_0005,19_0014,KoordX,0.0
48,,48,48,A17294,19_0014_0016,19_0014,KoordX,0.0
49,,49,49,A1875,19_0014_0046,19_0014,KoordX,0.0
50,,50,50,A1931,19_0014_0047,19_0014,KoordX,0.0
51,,51,51,A1998,19_0014_0048,19_0014,KoordX,0.0
52,,52,52,A2019,19_0014_0049,19_0014,KoordX,0.0
