system_id,sample_description_type_id,arbodat_code,type_description,type_name
1,,Vorfu,Indicates of sample is a mass find.,Is mass find?
2,,AblaBdgProb,?,Wet/dry?
3,,EDatProb,Sampling date,Sampling date
4,,Strat,Stratigraphic unit or description.,Stratigraphy
5,,Schi,Layer identifier,Layer
6,,Quadr,Excavation square/grid square.,Square/Grid
7,,Plan,Planum,Planum
8,,Prob_üNN,Elevation of sample above sea level.,Elevation ASL
9,,TK,German topographic map sheet number.,Map sheet
10,,SedProb,Indicates whether the sample is sediment.,Sediment
11,,KultGr,Cultural group,Cultural group
