system_id,sample_sample_type_id,sample_id,sample_type_id,description,type_name,Befu,ProbNr,ProbTyp,ProjektNr
1,,1,1,,Eim,P16,18_0025_0003,Eim,18_0025
2,,2,1,,Eim,P18,18_0025_0004,Eim,18_0025
3,,3,1,,Eim,P20,18_0025_0005,Eim,18_0025
4,,4,1,,Eim,P5,18_0025_0001,Eim,18_0025
5,,5,1,,Eim,P6,18_0025_0002,Eim,18_0025
6,,6,1,,Eim,A11148,19_0013_0013,Eim,19_0013
7,,7,1,,Eim,A11148,19_0013_0014,Eim,19_0013
8,,8,1,,Eim,A11148,19_0013_0015,Eim,19_0013
9,,9,1,,Eim,A11148,19_0013_0020,Eim,19_0013
10,,10,1,,Eim,A479,19_0013_0010,Eim,19_0013
11,,11,1,,Eim,A479,19_0013_0011,Eim,19_0013
12,,12,1,,Eim,A479,19_0013_0012,Eim,19_0013
13,,13,1,,Eim,A479,19_0013_0019,Eim,19_0013
14,,14,1,,Eim,A6214,19_0013_0007,Eim,19_0013
15,,15,1,,Eim,A6214,19_0013_0008,Eim,19_0013
16,,16,1,,Eim,A6214,19_0013_0009,Eim,19_0013
17,,17,1,,Eim,A6214,19_0013_0018,Eim,19_0013
18,,18,1,,Eim,A8090,19_0013_0004,Eim,19_0013
19,,19,1,,Eim,A8090,19_0013_0005,Eim,19_0013
20,,20,1,,Eim,A8090,19_0013_0006,Eim,19_0013
21,,21,1,,Eim,A8090,19_0013_0017,Eim,19_0013
22,,22,1,,Eim,A9063,19_0013_0001,Eim,19_0013
23,,23,1,,Eim,A9063,19_0013_0002,Eim,19_0013
24,,24,1,,Eim,A9063,19_0013_0003,Eim,19_0013
25,,25,1,,Eim,A9063,19_0013_0016,Eim,19_0013
26,,26,1,,Eim,A10143,19_0014_0040,Eim,19_0014
27,,27,1,,Eim,A10153,19_0014_0037,Eim,19_0014
28,,28,1,,Eim,A10189,19_0014_0042,Eim,19_0014
29,,29,1,,Eim,A10229,19_0014_0039,Eim,19_0014
30,,30,1,,Eim,A10697,19_0014_0067,Eim,19_0014
31,,31,1,,Eim,A10990,19_0014_0055,Eim,19_0014
32,,32,1,,Eim,A11339,19_0014_0068,Eim,19_0014
33,,33,1,,Eim,A1196,19_0014_0044,Eim,19_0014
34,,34,1,,Eim,A12024,19_0014_0056,Eim,19_0014
35,,35,1,,Eim,A12024,19_0014_0057,Eim,19_0014
36,,36,1,,Eim,A12034,19_0014_0058,Eim,19_0014
37,,37,1,,Eim,A12435,19_0014_0069,Eim,19_0014
38,,38,1,,Eim,A13064,19_0014_0071,Eim,19_0014
39,,39,1,,Eim,A13200,19_0014_0041,Eim,19_0014
40,,40,1,,Eim,A13299,19_0014_0072,Eim,19_0014
41,,41,1,,Eim,A13837,19_0014_0060,Eim,19_0014
42,,42,1,,Eim,A15333,19_0014_0061,Eim,19_0014
43,,43,1,,Eim,A15344,19_0014_0074,Eim,19_0014
44,,44,1,,Eim,A15554,19_0014_0075,Eim,19_0014
45,,45,1,,Eim,A15736,19_0014_0059,Eim,19_0014
46,,46,1,,Eim,A16771,19_0014_0008,Eim,19_0014
47,,47,1,,Eim,A16783,19_0014_0005,Eim,19_0014
48,,48,1,,Eim,A17294,19_0014_0016,Eim,19_0014
49,,49,1,,Eim,A1875,19_0014_0046,Eim,19_0014
50,,50,1,,Eim,A1931,19_0014_0047,Eim,19_0014
51,,51,1,,Eim,A1998,19_0014_0048,Eim,19_0014
52,,52,1,,Eim,A2019,19_0014_0049,Eim,19_0014
53,,53,1,,Eim,A2029,19_0014_0050,Eim,19_0014
54,,54,1,,Eim,A2114,19_0014_0051,Eim,19_0014
55,,55,1,,Eim,A3019,19_0014_0052,Eim,19_0014
56,,56,1,,Eim,A3170,19_0014_0066,Eim,19_0014
57,,57,1,,Eim,A3650,19_0014_0053,Eim,19_0014
58,,58,1,,Eim,A4115,19_0014_0023,Eim,19_0014
59,,59,1,,Eim,A4365,19_0014_0054,Eim,19_0014
60,,60,1,,Eim,A5192,19_0014_0020,Eim,19_0014
61,,61,1,,Eim,A5213,19_0014_0019,Eim,19_0014
62,,62,1,,Eim,A5223,19_0014_0018,Eim,19_0014
63,,63,1,,Eim,A5254,19_0014_0029,Eim,19_0014
64,,64,1,,Eim,A5282,19_0014_0021,Eim,19_0014
65,,65,1,,Eim,A5294,19_0014_0022,Eim,19_0014
66,,66,1,,Eim,A5307,19_0014_0024,Eim,19_0014
67,,67,1,,Eim,A5334,19_0014_0063,Eim,19_0014
68,,68,1,,Eim,A6041,19_0014_0034,Eim,19_0014
69,,69,1,,Eim,A6135,19_0014_0015,Eim,19_0014
70,,70,1,,Eim,A6146,19_0014_0033,Eim,19_0014
71,,71,1,,Eim,A6157,19_0014_0035,Eim,19_0014
72,,72,1,,Eim,A6178,19_0014_0017,Eim,19_0014
73,,73,1,,Eim,A6194,19_0014_0025,Eim,19_0014
74,,74,1,,Eim,A7199,19_0014_0032,Eim,19_0014
75,,75,1,,Eim,A7253,19_0014_0014,Eim,19_0014
76,,76,1,,Eim,A7263,19_0014_0030,Eim,19_0014
77,,77,1,,Eim,A7294,19_0014_0013,Eim,19_0014
78,,78,1,,Eim,A7306,19_0014_0036,Eim,19_0014
79,,79,1,,Eim,A785,19_0014_0043,Eim,19_0014
80,,80,1,,Eim,A8079,19_0014_0007,Eim,19_0014
81,,81,1,,Eim,A8103,19_0014_0009,Eim,19_0014
82,,82,1,,Eim,A8114,19_0014_0011,Eim,19_0014
83,,83,1,,Eim,A8142,19_0014_0026,Eim,19_0014
84,,84,1,,Eim,A8178,19_0014_0031,Eim,19_0014
85,,85,1,,Eim,A8189,19_0014_0012,Eim,19_0014
86,,86,1,,Eim,A8234,19_0014_0010,Eim,19_0014
87,,87,1,,Eim,A9000,19_0014_0027,Eim,19_0014
88,,88,1,,Eim,A9052,19_0014_0028,Eim,19_0014
89,,89,1,,Eim,A9075,19_0014_0003,Eim,19_0014
90,,90,1,,Eim,A9111,19_0014_0001,Eim,19_0014
91,,91,1,,Eim,A9126,19_0014_0004,Eim,19_0014
92,,92,1,,Eim,A9199,19_0014_0006,Eim,19_0014
93,,93,1,,Eim,A957,19_0014_0064,Eim,19_0014
94,,94,1,,Eim,A973,19_0014_0065,Eim,19_0014
95,,95,1,,Eim,A9847,19_0014_0002,Eim,19_0014
96,,96,1,,Eim,11200,22_0005_0001,Eim,22_0005
97,,97,1,,Eim,11201,22_0005_0002,Eim,22_0005
98,,98,1,,Eim,11221,22_0005_0003,Eim,22_0005
99,,99,1,,Eim,12026,22_0005_0004,Eim,22_0005
100,,100,1,,Eim,200125,22_0005_0012,Eim,22_0005
101,,101,1,,Eim,200149,22_0005_0013,Eim,22_0005
102,,102,1,,Eim,200177,22_0005_0009,Eim,22_0005
103,,103,1,,Eim,200473,22_0005_0005,Eim,22_0005
104,,104,1,,Eim,200475,22_0005_0006,Eim,22_0005
105,,105,1,,Eim,23362,22_0005_0010,Eim,22_0005
106,,106,1,,Eim,23434,22_0005_0007,Eim,22_0005
107,,107,1,,Eim,23491,22_0005_0008,Eim,22_0005
108,,108,1,,Eim,23988,22_0005_0011,Eim,22_0005
109,,109,1,,Eim,A2076,22_0015_0017,Eim,22_0015
110,,110,1,,Eim,A2154,22_0015_0020,Eim,22_0015
111,,111,1,,Eim,A2874 G2976,22_0015_0014,Eim,22_0015
112,,112,1,,Eim,A4796,22_0015_0013,Eim,22_0015
113,,113,1,,Eim,M153 St 1,22_0015_0006,Eim,22_0015
114,,114,1,,Eim,M153 St 2,22_0015_0007,Eim,22_0015
115,,115,1,,Eim,M160 St 1,22_0015_0001,Eim,22_0015
116,,116,1,,Eim,M167 St 1,22_0015_0002,Eim,22_0015
117,,117,1,,Eim,M167 St 2,22_0015_0003,Eim,22_0015
118,,118,1,,Eim,M167 St 3,22_0015_0004,Eim,22_0015
