sample_id,taxon_id,BNam,Befu,PCODE,ProbNr,ProjektNr,TaxAut
1,1,Aethusa cynapium,P16,AECYN,18_0025_0003,18_0025,L.
1,2,Alnus spec.,P16,ALNU,18_0025_0003,18_0025,Gaertn.
1,3,Apiaceae,P16,APIAC,18_0025_0003,18_0025,
1,4,Atriplex spec.,P16,ATRI,18_0025_0003,18_0025,L.
1,5,Cerastium spec.,P16,CERA,18_0025_0003,18_0025,L.
1,6,Chenopodium album,P16,CHALB,18_0025_0003,18_0025,L.
1,7,Fragaria vesca,P16,FRVES,18_0025_0003,18_0025,L.
1,8,Galeopsis spec.,P16,GAIS,18_0025_0003,18_0025,L.
1,9,Glechoma hederacea,P16,GLHEH,18_0025_0003,18_0025,L.
1,10,Eleocharis,P16,HELE,18_0025_0003,18_0025,
1,11,Plantago major s.l.,P16,PLMAJ,18_0025_0003,18_0025,L.
1,12,Polygonum aviculare agg.,P16,POAVI,18_0025_0003,18_0025,
1,13,Polygonum convolvulus,P16,POLCO,18_0025_0003,18_0025,(L.) A. Löve
1,14,Polygonum lapathifolium/persicaria,P16,POLPE,18_0025_0003,18_0025,L./L.
1,15,Prunus padus,P16,PRPAD,18_0025_0003,18_0025,L.
1,16,Ranunculus spec.,P16,RANU,18_0025_0003,18_0025,L.
1,17,Rubus idaeus,P16,RUIDA,18_0025_0003,18_0025,L.
1,18,Silene spec.,P16,SILE,18_0025_0003,18_0025,L.
1,19,Solanum spec.,P16,SOLA,18_0025_0003,18_0025,L.
1,20,Spergula arvensis,P16,SPARV,18_0025_0003,18_0025,L.
1,21,Stellaria graminea,P16,STGRA,18_0025_0003,18_0025,L.
1,22,Stellaria media,P16,STMES,18_0025_0003,18_0025,
1,23,Torilis japonica,P16,TOJAP,18_0025_0003,18_0025,(Houtt.) DC.
1,24,Urtica dioica,P16,URDIO,18_0025_0003,18_0025,L.
2,1,Aethusa cynapium,P18,AECYN,18_0025_0004,18_0025,L.
2,25,Alnus glutinosa/incana,P18,ALGLI,18_0025_0004,18_0025,
2,4,Atriplex spec.,P18,ATRI,18_0025_0004,18_0025,L.
2,26,Bidens tripartita,P18,BITRI,18_0025_0004,18_0025,L.
2,6,Chenopodium album,P18,CHALB,18_0025_0004,18_0025,L.
2,27,Corylus avellana,P18,COAVE,18_0025_0004,18_0025,L.
2,28,Filipendula ulmaria,P18,FIULM,18_0025_0004,18_0025,(L.) Maxim.
2,8,Galeopsis spec.,P18,GAIS,18_0025_0004,18_0025,L.
2,29,Humulus lupulus,P18,HULUP,18_0025_0004,18_0025,L.
2,13,Polygonum convolvulus,P18,POLCO,18_0025_0004,18_0025,(L.) A. Löve
2,14,Polygonum lapathifolium/persicaria,P18,POLPE,18_0025_0004,18_0025,L./L.
2,30,Ranunculus ficaria,P18,RAFIC,18_0025_0004,18_0025,L.
2,16,Ranunculus spec.,P18,RANU,18_0025_0004,18_0025,L.
2,17,Rubus idaeus,P18,RUIDA,18_0025_0004,18_0025,L.
2,31,Scirpus sylvaticus,P18,SCSIL,18_0025_0004,18_0025,L.
2,32,Silene dioica,P18,SIDIO,18_0025_0004,18_0025,(L.) Clairv.
2,33,Stachys spec.,P18,STAC,18_0025_0004,18_0025,L.
2,34,Stellaria spec.,P18,STEL,18_0025_0004,18_0025,L.
2,24,Urtica dioica,P18,URDIO,18_0025_0004,18_0025,L.
3,25,Alnus glutinosa/incana,P20,ALGLI,18_0025_0005,18_0025,
3,3,Apiaceae,P20,APIAC,18_0025_0005,18_0025,
3,4,Atriplex spec.,P20,ATRI,18_0025_0005,18_0025,L.
