entity	num_rows	num_columns
natural_region_group	26	4
identification_level	6	5
master_dataset	1	7
dataset_submission_type	1	2
_pcodes	130	3
method	10	8
feature_type	55	6
abundance_property_type	10	5
modification_type	10	7
_project_contact	21	5
contact_type	5	5
site_property_type	5	5
sample_type	7	7
location_type	5	4
location	19	5
method_group	15	4
natural_region	134	6
abundance_element_group	6	5
abundance_element	88	9
feature_property_type	6	6
taxa	130	12
taxa_dominance	130	6
taxa_ecological_behaviour	130	20
taxa_use_categories	130	13
taxa_briemle_characteristics	130	8
sample_description_type	9	5
cultural_group	11	4
contact	15	6
taxa_plant_sociological_behaviour	130	18
dimension	4	8
coordinate_method_dimension	4	10
taxa_persistence	130	7
chronological_period	14	7
taxa_oberdorfer_characteristics	130	15
epoch	20	6
archaeological_period	117	7
site_type_group	16	7
site_type	36	9
site	6	17
site_natural_region	0	8
site_property	24	8
project	8	10
feature	210	18
sample_group	210	9
sample	292	15
sample_coordinate	831	10
dating	0	2
sample_description	1316	10
dating_period	292	10
feature_property	1260	9
analysis_entity	1669	17
relative_dating	292	9
site_location	30	8
dataset	8	13
dataset_submission	8	6
dataset_contacts	24	8
coordinate_system	30	5
abundance	1669	27
abundance_property	11243	7
abundance_modification	1669	5
