system_id,contact_id,contact_type,contact_name
1,,ArchAusg,"Stig Svedberg, Kulturlandskapet"
2,,ArchAusg,"KHM, University of Oslo"
3,,ArchAusg,Rio Göteborg
4,,ArchAusg,Rio Göteborg Natur och kulturkooperativ
5,,ArchAusg,
6,,ArchAusg,"Beatrix Midant-Reynes, IFAO, since 2017 Nathalie Buchez, Univ. Amiens"
7,,ArchBear,Stig Svedberg
8,,ArchBear,Kjetil Loftsgarden
9,,ArchBear,Jeanettte Gustavsson/ alt Caj Carlstein
10,,ArchBear,Magnus von der Luft
11,,ArchBear,
12,,BotBear,"Ivanka Hristova, Sofi Östman"
13,,BotBear,Ivanka Hristova/ Sofi Östman
14,,BotBear,"Sofi Östman, Ivanka Hristova"
15,,BotBear,
16,,BotBear,"E. Marinova & Sherief al Shafey, since 2019 Sidonie Preiss"
17,,Aut,
18,,BotBest,
19,,BotBest,Sherief al Shafey
20,,BotBest,sherief el shafaey
21,,BotBest,E. Marinova
22,,BotBest,Sherief
23,,BotBest,Sheriel & E. Marinova
24,,BotBest,"E, Marinova"
25,,BotBest,sherief elshafaey
26,,BotBest,E. Marinova 2013
27,,BotBest,E. marinova
