system_id,dataset_id,project_id,dataset_type_id,dataset_name,master_set_id,data_type_id,biblio_id,method_name,method_id
1,,1,,"ORG2,0",1,,,"ORG2,0",1
2,,2,,"ORG2,0",1,,,"ORG2,0",1
3,,3,,"ORG2,0",1,,,"ORG2,0",1
4,,4,,"ORG2,0",1,,,"ORG2,0",1
5,,5,,"ORG2,0",1,,,"ORG2,0",1
6,,6,,"ORG2,0",1,,,"ORG2,0",1
7,,7,,"ORG2,0",1,,,"ORG2,0",1
8,,1,,"ORG1,0",1,,,"ORG1,0",2
9,,2,,"ORG1,0",1,,,"ORG1,0",2
10,,3,,"ORG1,0",1,,,"ORG1,0",2
11,,4,,"ORG1,0",1,,,"ORG1,0",2
12,,5,,"ORG1,0",1,,,"ORG1,0",2
13,,6,,"ORG1,0",1,,,"ORG1,0",2
14,,7,,"ORG1,0",1,,,"ORG1,0",2
15,,1,,"ORG0,5",1,,,"ORG0,5",3
16,,2,,"ORG0,5",1,,,"ORG0,5",3
17,,3,,"ORG0,5",1,,,"ORG0,5",3
18,,4,,"ORG0,5",1,,,"ORG0,5",3
19,,5,,"ORG0,5",1,,,"ORG0,5",3
20,,6,,"ORG0,5",1,,,"ORG0,5",3
21,,7,,"ORG0,5",1,,,"ORG0,5",3
22,,1,,"ORG0,25",1,,,"ORG0,25",4
23,,2,,"ORG0,25",1,,,"ORG0,25",4
24,,3,,"ORG0,25",1,,,"ORG0,25",4
25,,4,,"ORG0,25",1,,,"ORG0,25",4
26,,5,,"ORG0,25",1,,,"ORG0,25",4
27,,6,,"ORG0,25",1,,,"ORG0,25",4
28,,7,,"ORG0,25",1,,,"ORG0,25",4
29,,1,,"MIN2,0",1,,,"MIN2,0",5
30,,2,,"MIN2,0",1,,,"MIN2,0",5
31,,3,,"MIN2,0",1,,,"MIN2,0",5
32,,4,,"MIN2,0",1,,,"MIN2,0",5
33,,5,,"MIN2,0",1,,,"MIN2,0",5
34,,6,,"MIN2,0",1,,,"MIN2,0",5
35,,7,,"MIN2,0",1,,,"MIN2,0",5
36,,1,,"MIN1,0",1,,,"MIN1,0",6
37,,2,,"MIN1,0",1,,,"MIN1,0",6
38,,3,,"MIN1,0",1,,,"MIN1,0",6
39,,4,,"MIN1,0",1,,,"MIN1,0",6
40,,5,,"MIN1,0",1,,,"MIN1,0",6
41,,6,,"MIN1,0",1,,,"MIN1,0",6
42,,7,,"MIN1,0",1,,,"MIN1,0",6
43,,1,,"MIN0,5",1,,,"MIN0,5",7
44,,2,,"MIN0,5",1,,,"MIN0,5",7
45,,3,,"MIN0,5",1,,,"MIN0,5",7
46,,4,,"MIN0,5",1,,,"MIN0,5",7
47,,5,,"MIN0,5",1,,,"MIN0,5",7
48,,6,,"MIN0,5",1,,,"MIN0,5",7
49,,7,,"MIN0,5",1,,,"MIN0,5",7
50,,1,,"MIN0,25",1,,,"MIN0,25",8
51,,2,,"MIN0,25",1,,,"MIN0,25",8
52,,3,,"MIN0,25",1,,,"MIN0,25",8
53,,4,,"MIN0,25",1,,,"MIN0,25",8
54,,5,,"MIN0,25",1,,,"MIN0,25",8
55,,6,,"MIN0,25",1,,,"MIN0,25",8
56,,7,,"MIN0,25",1,,,"MIN0,25",8
