system_id,dating_id,sample_id,ArchDat,Befu,ChronoDat,ProbNr,ProjektNr
1,,1,ScanBronsYn4,P16,,18_0025_0003,18_0025
2,,2,ScanBronsYn4,P18,,18_0025_0004,18_0025
3,,3,ScanBrons,P20,,18_0025_0005,18_0025
4,,4,ScanBronsYn4,P5,,18_0025_0001,18_0025
5,,5,ScanBronsYn4,P6,,18_0025_0002,18_0025
6,,6,ScanJärn,A11148,,19_0013_0013,19_0013
7,,7,ScanJärn,A11148,,19_0013_0014,19_0013
8,,8,ScanJärn,A11148,,19_0013_0015,19_0013
9,,9,ScanJärn,A11148,,19_0013_0020,19_0013
10,,10,ScanJärn,A479,,19_0013_0010,19_0013
11,,11,ScanJärn,A479,,19_0013_0011,19_0013
12,,12,ScanJärn,A479,,19_0013_0012,19_0013
13,,13,ScanJärn,A479,,19_0013_0019,19_0013
14,,14,ScanJärn,A6214,,19_0013_0007,19_0013
15,,15,ScanJärn,A6214,,19_0013_0008,19_0013
16,,16,ScanJärn,A6214,,19_0013_0009,19_0013
17,,17,ScanJärn,A6214,,19_0013_0018,19_0013
18,,18,ScanJärn,A8090,,19_0013_0004,19_0013
19,,19,ScanJärn,A8090,,19_0013_0005,19_0013
20,,20,ScanJärn,A8090,,19_0013_0006,19_0013
21,,21,ScanJärn,A8090,,19_0013_0017,19_0013
22,,22,ScanJärn,A9063,,19_0013_0001,19_0013
23,,23,ScanJärn,A9063,,19_0013_0002,19_0013
24,,24,ScanJärn,A9063,,19_0013_0003,19_0013
25,,25,ScanJärn,A9063,,19_0013_0016,19_0013
26,,26,ScanJärn,A10143,,19_0014_0040,19_0014
27,,27,ScanJärn,A10153,,19_0014_0037,19_0014
28,,28,ScanJärn,A10189,,19_0014_0042,19_0014
29,,29,ScanJärn,A10229,,19_0014_0039,19_0014
30,,30,ScanJärn,A10697,,19_0014_0067,19_0014
31,,31,ScanJärn,A10990,,19_0014_0055,19_0014
32,,32,ScanJärn,A11339,,19_0014_0068,19_0014
33,,33,ScanJärn,A1196,,19_0014_0044,19_0014
34,,34,ScanJärnVik,A12024,,19_0014_0056,19_0014
35,,35,ScanJärnVik,A12024,,19_0014_0057,19_0014
36,,36,ScanJärnVik,A12034,,19_0014_0058,19_0014
37,,37,ScanJärn,A12435,,19_0014_0069,19_0014
38,,38,ScanJärn,A13064,,19_0014_0071,19_0014
39,,39,ScanJärn,A13200,,19_0014_0041,19_0014
40,,40,ScanJärn,A13299,,19_0014_0072,19_0014
41,,41,ScanJärn,A13837,,19_0014_0060,19_0014
42,,42,ScanJärn,A15333,,19_0014_0061,19_0014
43,,43,ScanJärn,A15344,,19_0014_0074,19_0014
44,,44,ScanJärn,A15554,,19_0014_0075,19_0014
45,,45,ScanJärnVik,A15736,,19_0014_0059,19_0014
46,,46,ScanJärn,A16771,,19_0014_0008,19_0014
47,,47,ScanJärn,A16783,,19_0014_0005,19_0014
48,,48,ScanJärn,A17294,,19_0014_0016,19_0014
49,,49,ScanJärn,A1875,,19_0014_0046,19_0014
50,,50,ScanJärn,A1931,,19_0014_0047,19_0014
51,,51,ScanJärn,A1998,,19_0014_0048,19_0014
52,,52,ScanJärn,A2019,,19_0014_0049,19_0014
53,,53,ScanJärn,A2029,,19_0014_0050,19_0014
