system_id,feature_id,feature_type_id,site_id,Befu,BefuTyp,EVNr,Fustel,ProjektNr
1,,1,1,P16,Schi,,Kville 1502,18_0025
2,,2,1,P18,Schi,,Kville 1502,18_0025
3,,3,1,P20,Schi,,Kville 1502,18_0025
4,,4,1,P5,Schi,,Kville 1502,18_0025
5,,5,1,P6,Schi,,Kville 1502,18_0025
6,,6,2,A11148,Gr,224073,Blaker kirkegård,19_0013
7,,7,2,A479,Gr,224073,Blaker kirkegård,19_0013
8,,8,2,A6214,Pfo,224073,Blaker kirkegård,19_0013
9,,9,2,A8090,Pfo,224073,Blaker kirkegård,19_0013
10,,10,2,A9063,Pfo,224073,Blaker kirkegård,19_0013
11,,11,3,A10143,Pfo,224073,Blaker kirkegård,19_0014
12,,12,3,A10153,Pfo,224073,Blaker kirkegård,19_0014
13,,13,3,A10189,Pfo,224073,Blaker kirkegård,19_0014
14,,14,3,A10229,Pfo,224073,Blaker kirkegård,19_0014
15,,15,3,A10697,Gr,224073,Blaker kirkegård,19_0014
16,,16,3,A10990,Pfo,224073,Blaker kirkegård,19_0014
17,,17,3,A11339,Gr,224073,Blaker kirkegård,19_0014
18,,18,3,A1196,Pfo,224073,Blaker kirkegård,19_0014
19,,19,3,A12024,BrGrab,224073,Blaker kirkegård,19_0014
20,,20,3,A12034,BrGrab,224073,Blaker kirkegård,19_0014
21,,21,3,A12435,Gr,224073,Blaker kirkegård,19_0014
22,,22,3,A13064,Gr,224073,Blaker kirkegård,19_0014
23,,23,3,A13200,Pfo,224073,Blaker kirkegård,19_0014
24,,24,3,A13299,Gr,224073,Blaker kirkegård,19_0014
25,,25,3,A13837,Gr,224073,Blaker kirkegård,19_0014
26,,26,3,A15333,Kult,224073,Blaker kirkegård,19_0014
27,,27,3,A15344,Gr,224073,Blaker kirkegård,19_0014
28,,28,3,A15554,Gr,224073,Blaker kirkegård,19_0014
29,,29,3,A15736,BrGrab,224073,Blaker kirkegård,19_0014
30,,30,3,A16771,Pfo,224073,Blaker kirkegård,19_0014
31,,31,3,A16783,Pfo,224073,Blaker kirkegård,19_0014
32,,32,3,A17294,Pfo,224073,Blaker kirkegård,19_0014
33,,33,3,A1875,Pfo,224073,Blaker kirkegård,19_0014
34,,34,3,A1931,Pfo,224073,Blaker kirkegård,19_0014
35,,35,3,A1998,Pfo,224073,Blaker kirkegård,19_0014
36,,36,3,A2019,Pfo,224073,Blaker kirkegård,19_0014
37,,37,3,A2029,Pfo,224073,Blaker kirkegård,19_0014
38,,38,3,A2114,Pfo,224073,Blaker kirkegård,19_0014
39,,39,3,A3019,Pfo,224073,Blaker kirkegård,19_0014
40,,40,3,A3170,Gr,224073,Blaker kirkegård,19_0014
41,,41,3,A3650,Pfo,224073,Blaker kirkegård,19_0014
42,,42,3,A4115,Pfo,224073,Blaker kirkegård,19_0014
43,,43,3,A4365,Pfo,224073,Blaker kirkegård,19_0014
44,,44,3,A5192,Pfo,224073,Blaker kirkegård,19_0014
45,,45,3,A5213,Pfo,224073,Blaker kirkegård,19_0014
46,,46,3,A5223,Pfo,224073,Blaker kirkegård,19_0014
47,,47,3,A5254,Her,224073,Blaker kirkegård,19_0014
48,,48,3,A5282,Pfo,224073,Blaker kirkegård,19_0014
49,,49,3,A5294,Pfo,224073,Blaker kirkegård,19_0014
50,,50,3,A5307,Pfo,224073,Blaker kirkegård,19_0014
51,,51,3,A5334,Gr,224073,Blaker kirkegård,19_0014
52,,52,3,A6041,Pfo,224073,Blaker kirkegård,19_0014
53,,53,3,A6135,Pfo,224073,Blaker kirkegård,19_0014
54,,54,3,A6146,Pfo,224073,Blaker kirkegård,19_0014
55,,55,3,A6157,Pfo,224073,Blaker kirkegård,19_0014
56,,56,3,A6178,Pfo,224073,Blaker kirkegård,19_0014
57,,57,3,A6194,Pfo,224073,Blaker kirkegård,19_0014
58,,58,3,A7199,Pfo,224073,Blaker kirkegård,19_0014
59,,59,3,A7253,Pfo,224073,Blaker kirkegård,19_0014
60,,60,3,A7263,Pfo,224073,Blaker kirkegård,19_0014
61,,61,3,A7294,Pfo,224073,Blaker kirkegård,19_0014
62,,62,3,A7306,Pfo,224073,Blaker kirkegård,19_0014
63,,63,3,A785,Pfo,224073,Blaker kirkegård,19_0014
64,,64,3,A8079,Pfo,224073,Blaker kirkegård,19_0014
65,,65,3,A8103,Pfo,224073,Blaker kirkegård,19_0014
66,,66,3,A8114,Pfo,224073,Blaker kirkegård,19_0014
67,,67,3,A8142,Pfo,224073,Blaker kirkegård,19_0014
