system_id,feature_property_id,feature_id,feature_property_type_id,Befu,ProjektNr,arbodat_code,feature_property_type,feature_property_value
1,,1,1,P16,18_0025,GrJahrBefu,GrJahrBefu,2018
2,,2,1,P18,18_0025,GrJahrBefu,GrJahrBefu,2018
3,,3,1,P20,18_0025,GrJahrBefu,GrJahrBefu,2018
4,,4,1,P5,18_0025,GrJahrBefu,GrJahrBefu,2018
5,,5,1,P6,18_0025,GrJahrBefu,GrJahrBefu,2018
6,,6,1,A11148,19_0013,GrJahrBefu,GrJahrBefu,2018
7,,7,1,A479,19_0013,GrJahrBefu,GrJahrBefu,2018
8,,8,1,A6214,19_0013,GrJahrBefu,GrJahrBefu,2018
9,,9,1,A8090,19_0013,GrJahrBefu,GrJahrBefu,2018
10,,10,1,A9063,19_0013,GrJahrBefu,GrJahrBefu,2018
11,,11,1,A10143,19_0014,GrJahrBefu,GrJahrBefu,2018
12,,12,1,A10153,19_0014,GrJahrBefu,GrJahrBefu,2018
13,,13,1,A10189,19_0014,GrJahrBefu,GrJahrBefu,2018
14,,14,1,A10229,19_0014,GrJahrBefu,GrJahrBefu,2018
15,,15,1,A10697,19_0014,GrJahrBefu,GrJahrBefu,2018
16,,16,1,A10990,19_0014,GrJahrBefu,GrJahrBefu,2018
17,,17,1,A11339,19_0014,GrJahrBefu,GrJahrBefu,2018
18,,18,1,A1196,19_0014,GrJahrBefu,GrJahrBefu,2018
19,,19,1,A12024,19_0014,GrJahrBefu,GrJahrBefu,2018
20,,20,1,A12034,19_0014,GrJahrBefu,GrJahrBefu,2018
21,,21,1,A12435,19_0014,GrJahrBefu,GrJahrBefu,2018
22,,22,1,A13064,19_0014,GrJahrBefu,GrJahrBefu,2018
23,,23,1,A13200,19_0014,GrJahrBefu,GrJahrBefu,2018
24,,24,1,A13299,19_0014,GrJahrBefu,GrJahrBefu,2018
25,,25,1,A13837,19_0014,GrJahrBefu,GrJahrBefu,2018
26,,26,1,A15333,19_0014,GrJahrBefu,GrJahrBefu,2018
27,,27,1,A15344,19_0014,GrJahrBefu,GrJahrBefu,2018
28,,28,1,A15554,19_0014,GrJahrBefu,GrJahrBefu,2018
29,,29,1,A15736,19_0014,GrJahrBefu,GrJahrBefu,2018
30,,30,1,A16771,19_0014,GrJahrBefu,GrJahrBefu,2018
31,,31,1,A16783,19_0014,GrJahrBefu,GrJahrBefu,2018
32,,32,1,A17294,19_0014,GrJahrBefu,GrJahrBefu,2018
33,,33,1,A1875,19_0014,GrJahrBefu,GrJahrBefu,2018
34,,34,1,A1931,19_0014,GrJahrBefu,GrJahrBefu,2018
35,,35,1,A1998,19_0014,GrJahrBefu,GrJahrBefu,2018
36,,36,1,A2019,19_0014,GrJahrBefu,GrJahrBefu,2018
37,,37,1,A2029,19_0014,GrJahrBefu,GrJahrBefu,2018
38,,38,1,A2114,19_0014,GrJahrBefu,GrJahrBefu,2018
39,,39,1,A3019,19_0014,GrJahrBefu,GrJahrBefu,2018
40,,40,1,A3170,19_0014,GrJahrBefu,GrJahrBefu,2018
41,,41,1,A3650,19_0014,GrJahrBefu,GrJahrBefu,2018
42,,42,1,A4115,19_0014,GrJahrBefu,GrJahrBefu,2018
43,,43,1,A4365,19_0014,GrJahrBefu,GrJahrBefu,2018
44,,44,1,A5192,19_0014,GrJahrBefu,GrJahrBefu,2018
45,,45,1,A5213,19_0014,GrJahrBefu,GrJahrBefu,2018
46,,46,1,A5223,19_0014,GrJahrBefu,GrJahrBefu,2018
