system_id,feature_type_id,site_id,feature_type_name,feature_type_description,ProjektNr,Befu,BefuTyp,Fustel,EVNr
1,5,1,Schi,,18_0025,P16,Schi,Kville 1502,
2,5,1,Schi,,18_0025,P18,Schi,Kville 1502,
3,5,1,Schi,,18_0025,P20,Schi,Kville 1502,
4,5,1,Schi,,18_0025,P5,Schi,Kville 1502,
5,5,1,Schi,,18_0025,P6,Schi,Kville 1502,
6,7,2,Gr,,19_0013,A11148,Gr,Blaker kirkegård,224073
7,7,2,Gr,,19_0013,A479,Gr,Blaker kirkegård,224073
8,26,2,Pfo,,19_0013,A6214,Pfo,Blaker kirkegård,224073
9,26,2,Pfo,,19_0013,A8090,Pfo,Blaker kirkegård,224073
10,26,2,Pfo,,19_0013,A9063,Pfo,Blaker kirkegård,224073
11,26,3,Pfo,,19_0014,A10143,Pfo,Blaker kirkegård,224073
12,26,3,Pfo,,19_0014,A10153,Pfo,Blaker kirkegård,224073
13,26,3,Pfo,,19_0014,A10189,Pfo,Blaker kirkegård,224073
14,26,3,Pfo,,19_0014,A10229,Pfo,Blaker kirkegård,224073
15,7,3,Gr,,19_0014,A10697,Gr,Blaker kirkegård,224073
16,26,3,Pfo,,19_0014,A10990,Pfo,Blaker kirkegård,224073
17,7,3,Gr,,19_0014,A11339,Gr,Blaker kirkegård,224073
18,26,3,Pfo,,19_0014,A1196,Pfo,Blaker kirkegård,224073
19,6,3,BrGrab,,19_0014,A12024,BrGrab,Blaker kirkegård,224073
20,6,3,BrGrab,,19_0014,A12034,BrGrab,Blaker kirkegård,224073
21,7,3,Gr,,19_0014,A12435,Gr,Blaker kirkegård,224073
22,7,3,Gr,,19_0014,A13064,Gr,Blaker kirkegård,224073
23,26,3,Pfo,,19_0014,A13200,Pfo,Blaker kirkegård,224073
24,7,3,Gr,,19_0014,A13299,Gr,Blaker kirkegård,224073
25,7,3,Gr,,19_0014,A13837,Gr,Blaker kirkegård,224073
26,40,3,Kult,,19_0014,A15333,Kult,Blaker kirkegård,224073
27,7,3,Gr,,19_0014,A15344,Gr,Blaker kirkegård,224073
28,7,3,Gr,,19_0014,A15554,Gr,Blaker kirkegård,224073
29,6,3,BrGrab,,19_0014,A15736,BrGrab,Blaker kirkegård,224073
30,26,3,Pfo,,19_0014,A16771,Pfo,Blaker kirkegård,224073
31,26,3,Pfo,,19_0014,A16783,Pfo,Blaker kirkegård,224073
32,26,3,Pfo,,19_0014,A17294,Pfo,Blaker kirkegård,224073
33,26,3,Pfo,,19_0014,A1875,Pfo,Blaker kirkegård,224073
34,26,3,Pfo,,19_0014,A1931,Pfo,Blaker kirkegård,224073
35,26,3,Pfo,,19_0014,A1998,Pfo,Blaker kirkegård,224073
36,26,3,Pfo,,19_0014,A2019,Pfo,Blaker kirkegård,224073
37,26,3,Pfo,,19_0014,A2029,Pfo,Blaker kirkegård,224073
38,26,3,Pfo,,19_0014,A2114,Pfo,Blaker kirkegård,224073
39,26,3,Pfo,,19_0014,A3019,Pfo,Blaker kirkegård,224073
40,7,3,Gr,,19_0014,A3170,Gr,Blaker kirkegård,224073
41,26,3,Pfo,,19_0014,A3650,Pfo,Blaker kirkegård,224073
42,26,3,Pfo,,19_0014,A4115,Pfo,Blaker kirkegård,224073
43,26,3,Pfo,,19_0014,A4365,Pfo,Blaker kirkegård,224073
44,26,3,Pfo,,19_0014,A5192,Pfo,Blaker kirkegård,224073
45,26,3,Pfo,,19_0014,A5213,Pfo,Blaker kirkegård,224073
46,26,3,Pfo,,19_0014,A5223,Pfo,Blaker kirkegård,224073
47,19,3,Her,,19_0014,A5254,Her,Blaker kirkegård,224073
48,26,3,Pfo,,19_0014,A5282,Pfo,Blaker kirkegård,224073
49,26,3,Pfo,,19_0014,A5294,Pfo,Blaker kirkegård,224073
50,26,3,Pfo,,19_0014,A5307,Pfo,Blaker kirkegård,224073
51,7,3,Gr,,19_0014,A5334,Gr,Blaker kirkegård,224073
52,26,3,Pfo,,19_0014,A6041,Pfo,Blaker kirkegård,224073
53,26,3,Pfo,,19_0014,A6135,Pfo,Blaker kirkegård,224073
54,26,3,Pfo,,19_0014,A6146,Pfo,Blaker kirkegård,224073
55,26,3,Pfo,,19_0014,A6157,Pfo,Blaker kirkegård,224073
56,26,3,Pfo,,19_0014,A6178,Pfo,Blaker kirkegård,224073
57,26,3,Pfo,,19_0014,A6194,Pfo,Blaker kirkegård,224073
