system_id,remain_type_id,remain_type_group_id,RTyp,RTypGrup
1,,1,Sa/Fr,Samen/Früchte usw.
2,,2,Ho,Holz
3,,3,Zwi,veget. Pflanzenteile
4,,1,Sti,Samen/Früchte usw.
5,,2,Zwei,Holz
6,,1,Spi,Samen/Früchte usw.
7,,3,Bl,veget. Pflanzenteile
8,,3,Veget,veget. Pflanzenteile
9,,4,sonst,sonstiges
10,,1,Za,Samen/Früchte usw.
11,,1,HSB,Samen/Früchte usw.
12,,3,Knos,veget. Pflanzenteile
13,,1,Gr,Samen/Früchte usw.
14,,4,Kopr,sonstiges
15,,3,Rhi,veget. Pflanzenteile
16,,4,Knoz,sonstiges
17,,5,unbek.,unbekannt
18,,1,BGF,Samen/Früchte usw.
19,,1,Hano,Samen/Früchte usw.
20,,3,boPf,veget. Pflanzenteile
21,,3,Hal,veget. Pflanzenteile
22,,1,Frfl,Samen/Früchte usw.
23,,2,A/Z,Holz
24,,4,Fisch,sonstiges
25,,1,S,Samen/Früchte usw.
26,,1,Blü,Samen/Früchte usw.
27,,2,Sho,Holz
28,,1,Frust,Samen/Früchte usw.
29,,1,Rac,Samen/Früchte usw.
30,,4,Moll,sonstiges
