system_id,result_id,Befu,Zustand,ProbNr,cf,ProjektNr,RTyp,PCODE,SumFAnzahl,SumFFrag,SumFGewicht,SumPflR,Zust,geschätzt
1,,P16,waterlogged,18_0025_0003,-,18_0025,Sa/Fr,AECYN,1.0,0.0,0.0,1,sf,
2,,P16,waterlogged,18_0025_0003,-,18_0025,Ho,ALNU,14.0,0.0,0.0,14,sf,
3,,P16,waterlogged,18_0025_0003,-,18_0025,Sa/Fr,APIAC,2.0,0.0,0.0,2,sf,
4,,P16,waterlogged,18_0025_0003,-,18_0025,Sa/Fr,ATRI,40.0,0.0,0.0,40,sf,
5,,P16,waterlogged,18_0025_0003,-,18_0025,Sa/Fr,CERA,3.0,0.0,0.0,3,sf,
6,,P16,waterlogged,18_0025_0003,-,18_0025,Sa/Fr,CHALB,30.0,0.0,0.0,30,sf,
7,,P16,waterlogged,18_0025_0003,-,18_0025,Sa/Fr,FRVES,3.0,0.0,0.0,3,sf,
8,,P16,waterlogged,18_0025_0003,-,18_0025,Sa/Fr,GAIS,9.0,0.0,0.0,9,sf,
9,,P16,waterlogged,18_0025_0003,-,18_0025,Sa/Fr,GLHEH,4.0,0.0,0.0,4,sf,
10,,P16,waterlogged,18_0025_0003,-,18_0025,Sa/Fr,HELE,1.0,0.0,0.0,1,sf,
11,,P16,waterlogged,18_0025_0003,-,18_0025,Sa/Fr,PLMAJ,2.0,0.0,0.0,2,sf,
12,,P16,waterlogged,18_0025_0003,-,18_0025,Sa/Fr,POAVI,33.0,0.0,0.0,33,sf,
13,,P16,waterlogged,18_0025_0003,-,18_0025,Sa/Fr,POLCO,4.0,0.0,0.0,4,sf,
14,,P16,waterlogged,18_0025_0003,-,18_0025,Sa/Fr,POLPE,19.0,0.0,0.0,19,sf,
15,,P16,waterlogged,18_0025_0003,-,18_0025,Sa/Fr,PRPAD,1.0,0.0,0.0,1,sf,
16,,P16,waterlogged,18_0025_0003,-,18_0025,Sa/Fr,RANU,4.0,0.0,0.0,4,sf,
17,,P16,waterlogged,18_0025_0003,-,18_0025,Sa/Fr,RUIDA,6.0,0.0,0.0,6,sf,
18,,P16,waterlogged,18_0025_0003,-,18_0025,Sa/Fr,SILE,1.0,0.0,0.0,1,sf,
19,,P16,waterlogged,18_0025_0003,-,18_0025,Sa/Fr,SOLA,9.0,0.0,0.0,9,sf,
20,,P16,waterlogged,18_0025_0003,-,18_0025,Sa/Fr,SPARV,1.0,0.0,0.0,1,sf,
21,,P16,waterlogged,18_0025_0003,-,18_0025,Sa/Fr,STGRA,6.0,0.0,0.0,6,sf,
