system_id,result_id,Befu,PCODE,ProbNr,ProjektNr,RTyp,SumFAnzahl,SumFFrag,SumFGewicht,SumPflR,Zust,cf,geschätzt,method_indicator,method_type
1,,P16,AECYN,18_0025_0003,18_0025,Sa/Fr,1.0,0.0,0.0,1,sf,-,,,"ORG2,0"
2,,P16,ALNU,18_0025_0003,18_0025,Ho,14.0,0.0,0.0,14,sf,-,,,"ORG2,0"
3,,P16,APIAC,18_0025_0003,18_0025,Sa/Fr,2.0,0.0,0.0,2,sf,-,,,"ORG2,0"
4,,P16,ATRI,18_0025_0003,18_0025,Sa/Fr,40.0,0.0,0.0,40,sf,-,,,"ORG2,0"
5,,P16,CERA,18_0025_0003,18_0025,Sa/Fr,3.0,0.0,0.0,3,sf,-,,,"ORG2,0"
6,,P16,CHALB,18_0025_0003,18_0025,Sa/Fr,30.0,0.0,0.0,30,sf,-,,,"ORG2,0"
7,,P16,FRVES,18_0025_0003,18_0025,Sa/Fr,3.0,0.0,0.0,3,sf,-,,,"ORG2,0"
8,,P16,GAIS,18_0025_0003,18_0025,Sa/Fr,9.0,0.0,0.0,9,sf,-,,,"ORG2,0"
9,,P16,GLHEH,18_0025_0003,18_0025,Sa/Fr,4.0,0.0,0.0,4,sf,-,,,"ORG2,0"
10,,P16,HELE,18_0025_0003,18_0025,Sa/Fr,1.0,0.0,0.0,1,sf,-,,,"ORG2,0"
11,,P16,PLMAJ,18_0025_0003,18_0025,Sa/Fr,2.0,0.0,0.0,2,sf,-,,,"ORG2,0"
12,,P16,POAVI,18_0025_0003,18_0025,Sa/Fr,33.0,0.0,0.0,33,sf,-,,,"ORG2,0"
13,,P16,POLCO,18_0025_0003,18_0025,Sa/Fr,4.0,0.0,0.0,4,sf,-,,,"ORG2,0"
14,,P16,POLPE,18_0025_0003,18_0025,Sa/Fr,19.0,0.0,0.0,19,sf,-,,,"ORG2,0"
15,,P16,PRPAD,18_0025_0003,18_0025,Sa/Fr,1.0,0.0,0.0,1,sf,-,,,"ORG2,0"
16,,P16,RANU,18_0025_0003,18_0025,Sa/Fr,4.0,0.0,0.0,4,sf,-,,,"ORG2,0"
17,,P16,RUIDA,18_0025_0003,18_0025,Sa/Fr,6.0,0.0,0.0,6,sf,-,,,"ORG2,0"
18,,P16,SILE,18_0025_0003,18_0025,Sa/Fr,1.0,0.0,0.0,1,sf,-,,,"ORG2,0"
19,,P16,SOLA,18_0025_0003,18_0025,Sa/Fr,9.0,0.0,0.0,9,sf,-,,,"ORG2,0"
20,,P16,SPARV,18_0025_0003,18_0025,Sa/Fr,1.0,0.0,0.0,1,sf,-,,,"ORG2,0"
21,,P16,STGRA,18_0025_0003,18_0025,Sa/Fr,6.0,0.0,0.0,6,sf,-,,,"ORG2,0"
22,,P16,STMES,18_0025_0003,18_0025,Sa/Fr,19.0,0.0,0.0,19,sf,-,,,"ORG2,0"
23,,P16,TOJAP,18_0025_0003,18_0025,Sa/Fr,1.0,0.0,0.0,1,sf,-,,,"ORG2,0"
24,,P16,URDIO,18_0025_0003,18_0025,Sa/Fr,9.0,0.0,0.0,9,sf,-,,,"ORG2,0"
25,,P18,AECYN,18_0025_0004,18_0025,Sa/Fr,1.0,0.0,0.0,1,sf,-,,,"ORG2,0"
26,,P18,ALGLI,18_0025_0004,18_0025,Sa/Fr,100.0,0.0,0.0,100,sf,-,,,"ORG2,0"
27,,P18,ATRI,18_0025_0004,18_0025,Sa/Fr,4.0,0.0,0.0,4,sf,-,,,"ORG2,0"
28,,P18,BITRI,18_0025_0004,18_0025,Sa/Fr,19.0,0.0,0.0,19,sf,-,,,"ORG2,0"
29,,P18,CHALB,18_0025_0004,18_0025,Sa/Fr,4.0,0.0,0.0,4,sf,-,,,"ORG2,0"
30,,P18,COAVE,18_0025_0004,18_0025,Sa/Fr,5.0,0.0,0.0,5,sf,-,,,"ORG2,0"
31,,P18,FIULM,18_0025_0004,18_0025,Sa/Fr,1.0,0.0,0.0,1,sf,-,,,"ORG2,0"
32,,P18,GAIS,18_0025_0004,18_0025,Sa/Fr,3.0,0.0,0.0,3,sf,-,,,"ORG2,0"
33,,P18,HULUP,18_0025_0004,18_0025,Sa/Fr,2.0,0.0,0.0,2,sf,-,,,"ORG2,0"
34,,P18,POLCO,18_0025_0004,18_0025,Sa/Fr,1.0,0.0,0.0,1,sf,-,,,"ORG2,0"
35,,P18,POLPE,18_0025_0004,18_0025,Sa/Fr,32.0,0.0,0.0,32,sf,-,,,"ORG2,0"
36,,P18,RAFIC,18_0025_0004,18_0025,Zwi,1.0,0.0,0.0,1,sf,A,,,"ORG2,0"
37,,P18,RANU,18_0025_0004,18_0025,Sa/Fr,2.0,0.0,0.0,2,sf,-,,,"ORG2,0"
38,,P18,RUIDA,18_0025_0004,18_0025,Sa/Fr,10.0,0.0,0.0,10,sf,-,,,"ORG2,0"
