system_id,sample_id,feature_id,sample_group_id,sample_type_id,alt_ref_type_id,date_sampled,sample_name,Befu,EDatProb,ProbNr,ProbTyp,ProjektNr
1,,1,1,1,,2021-12-07,P16,P16,2021-12-07,18_0025_0003,Eim,18_0025
2,,2,2,1,,2021-12-07,P18,P18,2021-12-07,18_0025_0004,Eim,18_0025
3,,3,3,1,,2021-12-07,P20,P20,2021-12-07,18_0025_0005,Eim,18_0025
4,,4,4,1,,2021-12-07,P5,P5,2021-12-07,18_0025_0001,Eim,18_0025
5,,5,5,1,,2021-12-07,P6,P6,2021-12-07,18_0025_0002,Eim,18_0025
6,,6,6,1,,2022-05-05,A11148,A11148,2022-05-05,19_0013_0013,Eim,19_0013
7,,6,6,1,,2022-05-05,A11148,A11148,2022-05-05,19_0013_0014,Eim,19_0013
8,,6,6,1,,2022-05-05,A11148,A11148,2022-05-05,19_0013_0015,Eim,19_0013
9,,6,6,1,,2022-05-05,A11148,A11148,2022-05-05,19_0013_0020,Eim,19_0013
10,,7,7,1,,2022-05-05,A479,A479,2022-05-05,19_0013_0010,Eim,19_0013
11,,7,7,1,,2022-05-05,A479,A479,2022-05-05,19_0013_0011,Eim,19_0013
12,,7,7,1,,2022-05-05,A479,A479,2022-05-05,19_0013_0012,Eim,19_0013
13,,7,7,1,,2022-05-05,A479,A479,2022-05-05,19_0013_0019,Eim,19_0013
14,,8,8,1,,2022-05-05,A6214,A6214,2022-05-05,19_0013_0007,Eim,19_0013
15,,8,8,1,,2022-05-05,A6214,A6214,2022-05-05,19_0013_0008,Eim,19_0013
16,,8,8,1,,2022-05-05,A6214,A6214,2022-05-05,19_0013_0009,Eim,19_0013
17,,8,8,1,,2022-05-05,A6214,A6214,2022-05-05,19_0013_0018,Eim,19_0013
18,,9,9,1,,2022-05-05,A8090,A8090,2022-05-05,19_0013_0004,Eim,19_0013
19,,9,9,1,,2022-05-05,A8090,A8090,2022-05-05,19_0013_0005,Eim,19_0013
20,,9,9,1,,2022-05-05,A8090,A8090,2022-05-05,19_0013_0006,Eim,19_0013
21,,9,9,1,,2022-05-05,A8090,A8090,2022-05-05,19_0013_0017,Eim,19_0013
22,,10,10,1,,2022-05-05,A9063,A9063,2022-05-05,19_0013_0001,Eim,19_0013
23,,10,10,1,,2022-05-05,A9063,A9063,2022-05-05,19_0013_0002,Eim,19_0013
24,,10,10,1,,2022-05-05,A9063,A9063,2022-05-05,19_0013_0003,Eim,19_0013
25,,10,10,1,,2022-05-05,A9063,A9063,2022-05-05,19_0013_0016,Eim,19_0013
26,,11,11,1,,2022-05-04,A10143,A10143,2022-05-04,19_0014_0040,Eim,19_0014
27,,12,12,1,,2022-05-04,A10153,A10153,2022-05-04,19_0014_0037,Eim,19_0014
28,,13,13,1,,2022-05-04,A10189,A10189,2022-05-04,19_0014_0042,Eim,19_0014
29,,14,14,1,,2022-05-04,A10229,A10229,2022-05-04,19_0014_0039,Eim,19_0014
30,,15,15,1,,2022-05-04,A10697,A10697,2022-05-04,19_0014_0067,Eim,19_0014
31,,16,16,1,,2022-05-04,A10990,A10990,2022-05-04,19_0014_0055,Eim,19_0014
32,,17,17,1,,2022-05-04,A11339,A11339,2022-05-04,19_0014_0068,Eim,19_0014
33,,18,18,1,,2022-05-04,A1196,A1196,2022-05-04,19_0014_0044,Eim,19_0014
