system_id,sample_archaeological_period_id,archaeological_period_id,sample_id,taxon_id,ArchDat,ArchDat_Beschreibung,BNam,Befu,ProbNr,ProjektNr,TaxAut
1,,1,1,1,ScanBronsYn4,Period IV 1100 – 900,Aethusa cynapium,P16,18_0025_0003,18_0025,L.
2,,1,1,2,ScanBronsYn4,Period IV 1100 – 900,Alnus spec.,P16,18_0025_0003,18_0025,Gaertn.
3,,1,1,3,ScanBronsYn4,Period IV 1100 – 900,Apiaceae,P16,18_0025_0003,18_0025,
4,,1,1,4,ScanBronsYn4,Period IV 1100 – 900,Atriplex spec.,P16,18_0025_0003,18_0025,L.
5,,1,1,5,ScanBronsYn4,Period IV 1100 – 900,Cerastium spec.,P16,18_0025_0003,18_0025,L.
6,,1,1,6,ScanBronsYn4,Period IV 1100 – 900,Chenopodium album,P16,18_0025_0003,18_0025,L.
7,,1,1,7,ScanBronsYn4,Period IV 1100 – 900,Fragaria vesca,P16,18_0025_0003,18_0025,L.
8,,1,1,8,ScanBronsYn4,Period IV 1100 – 900,Galeopsis spec.,P16,18_0025_0003,18_0025,L.
9,,1,1,9,ScanBronsYn4,Period IV 1100 – 900,Glechoma hederacea,P16,18_0025_0003,18_0025,L.
10,,1,1,10,ScanBronsYn4,Period IV 1100 – 900,Eleocharis,P16,18_0025_0003,18_0025,
11,,1,1,11,ScanBronsYn4,Period IV 1100 – 900,Plantago major s.l.,P16,18_0025_0003,18_0025,L.
12,,1,1,12,ScanBronsYn4,Period IV 1100 – 900,Polygonum aviculare agg.,P16,18_0025_0003,18_0025,
13,,1,1,13,ScanBronsYn4,Period IV 1100 – 900,Polygonum convolvulus,P16,18_0025_0003,18_0025,(L.) A. Löve
14,,1,1,14,ScanBronsYn4,Period IV 1100 – 900,Polygonum lapathifolium/persicaria,P16,18_0025_0003,18_0025,L./L.
15,,1,1,15,ScanBronsYn4,Period IV 1100 – 900,Prunus padus,P16,18_0025_0003,18_0025,L.
16,,1,1,16,ScanBronsYn4,Period IV 1100 – 900,Ranunculus spec.,P16,18_0025_0003,18_0025,L.
17,,1,1,17,ScanBronsYn4,Period IV 1100 – 900,Rubus idaeus,P16,18_0025_0003,18_0025,L.
18,,1,1,18,ScanBronsYn4,Period IV 1100 – 900,Silene spec.,P16,18_0025_0003,18_0025,L.
19,,1,1,19,ScanBronsYn4,Period IV 1100 – 900,Solanum spec.,P16,18_0025_0003,18_0025,L.
20,,1,1,20,ScanBronsYn4,Period IV 1100 – 900,Spergula arvensis,P16,18_0025_0003,18_0025,L.
21,,1,1,21,ScanBronsYn4,Period IV 1100 – 900,Stellaria graminea,P16,18_0025_0003,18_0025,L.
22,,1,1,22,ScanBronsYn4,Period IV 1100 – 900,Stellaria media,P16,18_0025_0003,18_0025,
23,,1,1,23,ScanBronsYn4,Period IV 1100 – 900,Torilis japonica,P16,18_0025_0003,18_0025,(Houtt.) DC.
24,,1,1,24,ScanBronsYn4,Period IV 1100 – 900,Urtica dioica,P16,18_0025_0003,18_0025,L.
25,,1,2,1,ScanBronsYn4,Period IV 1100 – 900,Aethusa cynapium,P18,18_0025_0004,18_0025,L.
26,,1,2,25,ScanBronsYn4,Period IV 1100 – 900,Alnus glutinosa/incana,P18,18_0025_0004,18_0025,
