system_id,sample_chronological_period_id,chronological_period_id,sample_id,taxon_id,BNam,Befu,ChronoDat,ChronoDat Beschreibung,ProbNr,ProjektNr,TaxAut
1,,1,1,1,Aethusa cynapium,P16,,,18_0025_0003,18_0025,L.
2,,1,1,2,Alnus spec.,P16,,,18_0025_0003,18_0025,Gaertn.
3,,1,1,3,Apiaceae,P16,,,18_0025_0003,18_0025,
4,,1,1,4,Atriplex spec.,P16,,,18_0025_0003,18_0025,L.
5,,1,1,5,Cerastium spec.,P16,,,18_0025_0003,18_0025,L.
6,,1,1,6,Chenopodium album,P16,,,18_0025_0003,18_0025,L.
7,,1,1,7,Fragaria vesca,P16,,,18_0025_0003,18_0025,L.
8,,1,1,8,Galeopsis spec.,P16,,,18_0025_0003,18_0025,L.
9,,1,1,9,Glechoma hederacea,P16,,,18_0025_0003,18_0025,L.
10,,1,1,10,Eleocharis,P16,,,18_0025_0003,18_0025,
11,,1,1,11,Plantago major s.l.,P16,,,18_0025_0003,18_0025,L.
12,,1,1,12,Polygonum aviculare agg.,P16,,,18_0025_0003,18_0025,
13,,1,1,13,Polygonum convolvulus,P16,,,18_0025_0003,18_0025,(L.) A. Löve
14,,1,1,14,Polygonum lapathifolium/persicaria,P16,,,18_0025_0003,18_0025,L./L.
15,,1,1,15,Prunus padus,P16,,,18_0025_0003,18_0025,L.
16,,1,1,16,Ranunculus spec.,P16,,,18_0025_0003,18_0025,L.
17,,1,1,17,Rubus idaeus,P16,,,18_0025_0003,18_0025,L.
18,,1,1,18,Silene spec.,P16,,,18_0025_0003,18_0025,L.
19,,1,1,19,Solanum spec.,P16,,,18_0025_0003,18_0025,L.
20,,1,1,20,Spergula arvensis,P16,,,18_0025_0003,18_0025,L.
21,,1,1,21,Stellaria graminea,P16,,,18_0025_0003,18_0025,L.
22,,1,1,22,Stellaria media,P16,,,18_0025_0003,18_0025,
23,,1,1,23,Torilis japonica,P16,,,18_0025_0003,18_0025,(Houtt.) DC.
24,,1,1,24,Urtica dioica,P16,,,18_0025_0003,18_0025,L.
25,,1,2,1,Aethusa cynapium,P18,,,18_0025_0004,18_0025,L.
26,,1,2,25,Alnus glutinosa/incana,P18,,,18_0025_0004,18_0025,
27,,1,2,4,Atriplex spec.,P18,,,18_0025_0004,18_0025,L.
28,,1,2,26,Bidens tripartita,P18,,,18_0025_0004,18_0025,L.
29,,1,2,6,Chenopodium album,P18,,,18_0025_0004,18_0025,L.
30,,1,2,27,Corylus avellana,P18,,,18_0025_0004,18_0025,L.
31,,1,2,28,Filipendula ulmaria,P18,,,18_0025_0004,18_0025,(L.) Maxim.
32,,1,2,8,Galeopsis spec.,P18,,,18_0025_0004,18_0025,L.
33,,1,2,29,Humulus lupulus,P18,,,18_0025_0004,18_0025,L.
34,,1,2,13,Polygonum convolvulus,P18,,,18_0025_0004,18_0025,(L.) A. Löve
35,,1,2,14,Polygonum lapathifolium/persicaria,P18,,,18_0025_0004,18_0025,L./L.
36,,1,2,30,Ranunculus ficaria,P18,,,18_0025_0004,18_0025,L.
37,,1,2,16,Ranunculus spec.,P18,,,18_0025_0004,18_0025,L.
38,,1,2,17,Rubus idaeus,P18,,,18_0025_0004,18_0025,L.
39,,1,2,31,Scirpus sylvaticus,P18,,,18_0025_0004,18_0025,L.
40,,1,2,32,Silene dioica,P18,,,18_0025_0004,18_0025,(L.) Clairv.
41,,1,2,33,Stachys spec.,P18,,,18_0025_0004,18_0025,L.
42,,1,2,34,Stellaria spec.,P18,,,18_0025_0004,18_0025,L.
43,,1,2,24,Urtica dioica,P18,,,18_0025_0004,18_0025,L.
44,,1,3,25,Alnus glutinosa/incana,P20,,,18_0025_0005,18_0025,
45,,1,3,3,Apiaceae,P20,,,18_0025_0005,18_0025,
46,,1,3,4,Atriplex spec.,P20,,,18_0025_0005,18_0025,L.
47,,1,3,35,Carex spec.,P20,,,18_0025_0005,18_0025,
48,,1,3,6,Chenopodium album,P20,,,18_0025_0005,18_0025,L.
49,,1,3,8,Galeopsis spec.,P20,,,18_0025_0005,18_0025,L.
50,,1,3,9,Glechoma hederacea,P20,,,18_0025_0005,18_0025,L.
