system_id,sample_coordinate_id,ProjektNr,Befu,ProbNr,coordinate_type,coordinate_value
1,,18_0025,P16,18_0025_0003,KoordX,0.0
2,,18_0025,P18,18_0025_0004,KoordX,0.0
3,,18_0025,P20,18_0025_0005,KoordX,0.0
4,,18_0025,P5,18_0025_0001,KoordX,0.0
5,,18_0025,P6,18_0025_0002,KoordX,0.0
6,,19_0013,A11148,19_0013_0013,KoordX,0.0
7,,19_0013,A11148,19_0013_0014,KoordX,0.0
8,,19_0013,A11148,19_0013_0015,KoordX,0.0
9,,19_0013,A11148,19_0013_0020,KoordX,0.0
10,,19_0013,A479,19_0013_0010,KoordX,0.0
11,,19_0013,A479,19_0013_0011,KoordX,0.0
12,,19_0013,A479,19_0013_0012,KoordX,0.0
13,,19_0013,A479,19_0013_0019,KoordX,0.0
14,,19_0013,A6214,19_0013_0007,KoordX,0.0
15,,19_0013,A6214,19_0013_0008,KoordX,0.0
16,,19_0013,A6214,19_0013_0009,KoordX,0.0
17,,19_0013,A6214,19_0013_0018,KoordX,0.0
18,,19_0013,A8090,19_0013_0004,KoordX,0.0
19,,19_0013,A8090,19_0013_0005,KoordX,0.0
20,,19_0013,A8090,19_0013_0006,KoordX,0.0
21,,19_0013,A8090,19_0013_0017,KoordX,0.0
22,,19_0013,A9063,19_0013_0001,KoordX,0.0
23,,19_0013,A9063,19_0013_0002,KoordX,0.0
24,,19_0013,A9063,19_0013_0003,KoordX,0.0
25,,19_0013,A9063,19_0013_0016,KoordX,0.0
26,,19_0014,A10143,19_0014_0040,KoordX,0.0
27,,19_0014,A10153,19_0014_0037,KoordX,0.0
28,,19_0014,A10189,19_0014_0042,KoordX,0.0
29,,19_0014,A10229,19_0014_0039,KoordX,0.0
30,,19_0014,A10697,19_0014_0067,KoordX,0.0
31,,19_0014,A10990,19_0014_0055,KoordX,0.0
32,,19_0014,A11339,19_0014_0068,KoordX,0.0
33,,19_0014,A1196,19_0014_0044,KoordX,0.0
34,,19_0014,A12024,19_0014_0056,KoordX,0.0
35,,19_0014,A12024,19_0014_0057,KoordX,0.0
36,,19_0014,A12034,19_0014_0058,KoordX,0.0
37,,19_0014,A12435,19_0014_0069,KoordX,0.0
38,,19_0014,A13064,19_0014_0071,KoordX,0.0
