system_id,sample_cultural_group_id,cultural_group_id,sample_id,Befu,KultGr,ProbNr,ProjektNr
1,,1,1,P16,nicht gewählt,18_0025_0003,18_0025
2,,1,2,P18,nicht gewählt,18_0025_0004,18_0025
3,,1,3,P20,nicht gewählt,18_0025_0005,18_0025
4,,1,4,P5,nicht gewählt,18_0025_0001,18_0025
5,,1,5,P6,nicht gewählt,18_0025_0002,18_0025
6,,1,6,A11148,nicht gewählt,19_0013_0013,19_0013
7,,1,7,A11148,nicht gewählt,19_0013_0014,19_0013
8,,1,8,A11148,nicht gewählt,19_0013_0015,19_0013
9,,1,9,A11148,nicht gewählt,19_0013_0020,19_0013
10,,1,10,A479,nicht gewählt,19_0013_0010,19_0013
11,,1,11,A479,nicht gewählt,19_0013_0011,19_0013
12,,1,12,A479,nicht gewählt,19_0013_0012,19_0013
13,,1,13,A479,nicht gewählt,19_0013_0019,19_0013
14,,1,14,A6214,nicht gewählt,19_0013_0007,19_0013
15,,1,15,A6214,nicht gewählt,19_0013_0008,19_0013
16,,1,16,A6214,nicht gewählt,19_0013_0009,19_0013
17,,1,17,A6214,nicht gewählt,19_0013_0018,19_0013
18,,1,18,A8090,nicht gewählt,19_0013_0004,19_0013
19,,1,19,A8090,nicht gewählt,19_0013_0005,19_0013
20,,1,20,A8090,nicht gewählt,19_0013_0006,19_0013
21,,1,21,A8090,nicht gewählt,19_0013_0017,19_0013
22,,1,22,A9063,nicht gewählt,19_0013_0001,19_0013
23,,1,23,A9063,nicht gewählt,19_0013_0002,19_0013
24,,1,24,A9063,nicht gewählt,19_0013_0003,19_0013
25,,1,25,A9063,nicht gewählt,19_0013_0016,19_0013
26,,1,26,A10143,nicht gewählt,19_0014_0040,19_0014
27,,1,27,A10153,nicht gewählt,19_0014_0037,19_0014
28,,1,28,A10189,nicht gewählt,19_0014_0042,19_0014
29,,1,29,A10229,nicht gewählt,19_0014_0039,19_0014
30,,1,30,A10697,nicht gewählt,19_0014_0067,19_0014
31,,1,31,A10990,nicht gewählt,19_0014_0055,19_0014
32,,1,32,A11339,nicht gewählt,19_0014_0068,19_0014
33,,1,33,A1196,nicht gewählt,19_0014_0044,19_0014
34,,1,34,A12024,nicht gewählt,19_0014_0056,19_0014
35,,1,35,A12024,nicht gewählt,19_0014_0057,19_0014
