system_id,sample_description_id,sample_description_type_id,sample_id,Befu,ProbNr,ProjektNr,arbodat_code,description_value,type_name
1,,1,1,P16,18_0025_0003,18_0025,Vorfu,,Vorfu
2,,1,2,P18,18_0025_0004,18_0025,Vorfu,,Vorfu
3,,1,3,P20,18_0025_0005,18_0025,Vorfu,,Vorfu
4,,1,4,P5,18_0025_0001,18_0025,Vorfu,,Vorfu
5,,1,4,P5,18_0025_0001,18_0025,Vorfu,,Vorfu
6,,1,5,P6,18_0025_0002,18_0025,Vorfu,,Vorfu
7,,1,6,A11148,19_0013_0013,19_0013,Vorfu,,Vorfu
8,,1,7,A11148,19_0013_0014,19_0013,Vorfu,,Vorfu
9,,1,8,A11148,19_0013_0015,19_0013,Vorfu,,Vorfu
10,,1,9,A11148,19_0013_0020,19_0013,Vorfu,,Vorfu
11,,1,10,A479,19_0013_0010,19_0013,Vorfu,,Vorfu
12,,1,11,A479,19_0013_0011,19_0013,Vorfu,,Vorfu
13,,1,12,A479,19_0013_0012,19_0013,Vorfu,,Vorfu
14,,1,13,A479,19_0013_0019,19_0013,Vorfu,,Vorfu
15,,1,14,A6214,19_0013_0007,19_0013,Vorfu,,Vorfu
16,,1,15,A6214,19_0013_0008,19_0013,Vorfu,,Vorfu
17,,1,16,A6214,19_0013_0009,19_0013,Vorfu,,Vorfu
18,,1,17,A6214,19_0013_0018,19_0013,Vorfu,,Vorfu
19,,1,18,A8090,19_0013_0004,19_0013,Vorfu,,Vorfu
20,,1,19,A8090,19_0013_0005,19_0013,Vorfu,,Vorfu
21,,1,20,A8090,19_0013_0006,19_0013,Vorfu,,Vorfu
22,,1,21,A8090,19_0013_0017,19_0013,Vorfu,,Vorfu
23,,1,22,A9063,19_0013_0001,19_0013,Vorfu,,Vorfu
24,,1,23,A9063,19_0013_0002,19_0013,Vorfu,,Vorfu
25,,1,24,A9063,19_0013_0003,19_0013,Vorfu,,Vorfu
26,,1,25,A9063,19_0013_0016,19_0013,Vorfu,,Vorfu
27,,1,25,A9063,19_0013_0016,19_0013,Vorfu,,Vorfu
28,,1,26,A10143,19_0014_0040,19_0014,Vorfu,,Vorfu
29,,1,27,A10153,19_0014_0037,19_0014,Vorfu,,Vorfu
30,,1,28,A10189,19_0014_0042,19_0014,Vorfu,,Vorfu
31,,1,29,A10229,19_0014_0039,19_0014,Vorfu,,Vorfu
32,,1,30,A10697,19_0014_0067,19_0014,Vorfu,,Vorfu
33,,1,31,A10990,19_0014_0055,19_0014,Vorfu,,Vorfu
34,,1,32,A11339,19_0014_0068,19_0014,Vorfu,,Vorfu
35,,1,33,A1196,19_0014_0044,19_0014,Vorfu,,Vorfu
36,,1,34,A12024,19_0014_0056,19_0014,Vorfu,,Vorfu
37,,1,35,A12024,19_0014_0057,19_0014,Vorfu,,Vorfu
38,,1,36,A12034,19_0014_0058,19_0014,Vorfu,,Vorfu
39,,1,37,A12435,19_0014_0069,19_0014,Vorfu,,Vorfu
40,,1,38,A13064,19_0014_0071,19_0014,Vorfu,,Vorfu
41,,1,39,A13200,19_0014_0041,19_0014,Vorfu,,Vorfu
42,,1,40,A13299,19_0014_0072,19_0014,Vorfu,,Vorfu
43,,1,41,A13837,19_0014_0060,19_0014,Vorfu,,Vorfu
44,,1,42,A15333,19_0014_0061,19_0014,Vorfu,,Vorfu
45,,1,43,A15344,19_0014_0074,19_0014,Vorfu,,Vorfu
46,,1,44,A15554,19_0014_0075,19_0014,Vorfu,,Vorfu
47,,1,45,A15736,19_0014_0059,19_0014,Vorfu,,Vorfu
48,,1,46,A16771,19_0014_0008,19_0014,Vorfu,,Vorfu
49,,1,47,A16783,19_0014_0005,19_0014,Vorfu,,Vorfu
50,,1,48,A17294,19_0014_0016,19_0014,Vorfu,,Vorfu
51,,1,49,A1875,19_0014_0046,19_0014,Vorfu,,Vorfu
52,,1,50,A1931,19_0014_0047,19_0014,Vorfu,,Vorfu
53,,1,51,A1998,19_0014_0048,19_0014,Vorfu,,Vorfu
54,,1,52,A2019,19_0014_0049,19_0014,Vorfu,,Vorfu
55,,1,53,A2029,19_0014_0050,19_0014,Vorfu,,Vorfu
56,,1,54,A2114,19_0014_0051,19_0014,Vorfu,,Vorfu
57,,1,55,A3019,19_0014_0052,19_0014,Vorfu,,Vorfu
58,,1,56,A3170,19_0014_0066,19_0014,Vorfu,,Vorfu
59,,1,57,A3650,19_0014_0053,19_0014,Vorfu,,Vorfu
60,,1,58,A4115,19_0014_0023,19_0014,Vorfu,,Vorfu
61,,1,59,A4365,19_0014_0054,19_0014,Vorfu,,Vorfu
62,,1,60,A5192,19_0014_0020,19_0014,Vorfu,,Vorfu
63,,1,61,A5213,19_0014_0019,19_0014,Vorfu,,Vorfu
64,,1,62,A5223,19_0014_0018,19_0014,Vorfu,,Vorfu
65,,1,63,A5254,19_0014_0029,19_0014,Vorfu,,Vorfu
66,,1,64,A5282,19_0014_0021,19_0014,Vorfu,,Vorfu
67,,1,65,A5294,19_0014_0022,19_0014,Vorfu,,Vorfu
68,,1,66,A5307,19_0014_0024,19_0014,Vorfu,,Vorfu
69,,1,67,A5334,19_0014_0063,19_0014,Vorfu,,Vorfu
70,,1,68,A6041,19_0014_0034,19_0014,Vorfu,,Vorfu
71,,1,69,A6135,19_0014_0015,19_0014,Vorfu,,Vorfu
72,,1,70,A6146,19_0014_0033,19_0014,Vorfu,,Vorfu
73,,1,71,A6157,19_0014_0035,19_0014,Vorfu,,Vorfu
74,,1,72,A6178,19_0014_0017,19_0014,Vorfu,,Vorfu
75,,1,73,A6194,19_0014_0025,19_0014,Vorfu,,Vorfu
76,,1,74,A7199,19_0014_0032,19_0014,Vorfu,,Vorfu
77,,1,75,A7253,19_0014_0014,19_0014,Vorfu,,Vorfu
78,,1,76,A7263,19_0014_0030,19_0014,Vorfu,,Vorfu
79,,1,77,A7294,19_0014_0013,19_0014,Vorfu,,Vorfu
80,,1,78,A7306,19_0014_0036,19_0014,Vorfu,,Vorfu
81,,1,79,A785,19_0014_0043,19_0014,Vorfu,,Vorfu
82,,1,80,A8079,19_0014_0007,19_0014,Vorfu,,Vorfu
83,,1,81,A8103,19_0014_0009,19_0014,Vorfu,,Vorfu
84,,1,82,A8114,19_0014_0011,19_0014,Vorfu,,Vorfu
85,,1,83,A8142,19_0014_0026,19_0014,Vorfu,,Vorfu
86,,1,84,A8178,19_0014_0031,19_0014,Vorfu,,Vorfu
87,,1,85,A8189,19_0014_0012,19_0014,Vorfu,,Vorfu
88,,1,86,A8234,19_0014_0010,19_0014,Vorfu,,Vorfu
89,,1,87,A9000,19_0014_0027,19_0014,Vorfu,,Vorfu
90,,1,88,A9052,19_0014_0028,19_0014,Vorfu,,Vorfu
91,,1,89,A9075,19_0014_0003,19_0014,Vorfu,,Vorfu
92,,1,90,A9111,19_0014_0001,19_0014,Vorfu,,Vorfu
93,,1,91,A9126,19_0014_0004,19_0014,Vorfu,,Vorfu
94,,1,92,A9199,19_0014_0006,19_0014,Vorfu,,Vorfu
95,,1,93,A957,19_0014_0064,19_0014,Vorfu,,Vorfu
96,,1,94,A973,19_0014_0065,19_0014,Vorfu,,Vorfu
97,,1,95,A9847,19_0014_0002,19_0014,Vorfu,,Vorfu
98,,1,96,11200,22_0005_0001,22_0005,Vorfu,,Vorfu
99,,1,97,11201,22_0005_0002,22_0005,Vorfu,,Vorfu
100,,1,98,11221,22_0005_0003,22_0005,Vorfu,,Vorfu
101,,1,99,12026,22_0005_0004,22_0005,Vorfu,,Vorfu
102,,1,100,200125,22_0005_0012,22_0005,Vorfu,,Vorfu
103,,1,101,200149,22_0005_0013,22_0005,Vorfu,,Vorfu
104,,1,102,200177,22_0005_0009,22_0005,Vorfu,,Vorfu
105,,1,103,200473,22_0005_0005,22_0005,Vorfu,,Vorfu
106,,1,104,200475,22_0005_0006,22_0005,Vorfu,,Vorfu
107,,1,105,23362,22_0005_0010,22_0005,Vorfu,,Vorfu
108,,1,106,23434,22_0005_0007,22_0005,Vorfu,,Vorfu
109,,1,107,23491,22_0005_0008,22_0005,Vorfu,,Vorfu
110,,1,108,23988,22_0005_0011,22_0005,Vorfu,,Vorfu
111,,1,109,A2076,22_0015_0017,22_0015,Vorfu,,Vorfu
112,,1,110,A2154,22_0015_0020,22_0015,Vorfu,,Vorfu
113,,1,111,A2874 G2976,22_0015_0014,22_0015,Vorfu,,Vorfu
114,,1,112,A4796,22_0015_0013,22_0015,Vorfu,,Vorfu
115,,1,113,M153 St 1,22_0015_0006,22_0015,Vorfu,,Vorfu
116,,1,114,M153 St 2,22_0015_0007,22_0015,Vorfu,,Vorfu
117,,1,115,M160 St 1,22_0015_0001,22_0015,Vorfu,,Vorfu
118,,1,115,M160 St 1,22_0015_0001,22_0015,Vorfu,,Vorfu
119,,1,115,M160 St 1,22_0015_0001,22_0015,Vorfu,,Vorfu
120,,1,116,M167 St 1,22_0015_0002,22_0015,Vorfu,,Vorfu
121,,1,117,M167 St 2,22_0015_0003,22_0015,Vorfu,,Vorfu
122,,1,117,M167 St 2,22_0015_0003,22_0015,Vorfu,,Vorfu
123,,1,118,M167 St 3,22_0015_0004,22_0015,Vorfu,,Vorfu
124,,1,119,M167 St 4,22_0015_0005,22_0015,Vorfu,,Vorfu
125,,1,120,M32 Undre del,2022_0015_0009,22_0015,Vorfu,,Vorfu
126,,1,121,M32 Övre del,2022_0015_0008,22_0015,Vorfu,,Vorfu
127,,1,122,M99 A5085,2022_0015_0010,22_0015,Vorfu,,Vorfu
128,,1,123,M99 A5085,2022_0015_0012,22_0015,Vorfu,,Vorfu
129,,1,124,31,17 depth 0.10-0.20,DanaBunar2,Vorfu,,Vorfu
130,,1,125,31,17a depth 0.00-0.20,DanaBunar2,Vorfu,,Vorfu
131,,1,126,32,51 depth 0.00-0.10,DanaBunar2,Vorfu,,Vorfu
132,,1,127,32,52 depth 0.10-0.20,DanaBunar2,Vorfu,,Vorfu
133,,1,128,32,53 depth 0.00-0.10,DanaBunar2,Vorfu,,Vorfu
134,,1,129,33,18 depth 0.20-0.30,DanaBunar2,Vorfu,,Vorfu
135,,1,130,33,19 depth 0.00-0.10,DanaBunar2,Vorfu,,Vorfu
136,,1,131,33,20 depth 0.10-0.30,DanaBunar2,Vorfu,,Vorfu
137,,1,132,33,21 depth 0.30-0.40,DanaBunar2,Vorfu,,Vorfu
138,,1,133,33,22 depth 0.20-0.30,DanaBunar2,Vorfu,,Vorfu
139,,1,134,37,39 depth 0.10-0.20,DanaBunar2,Vorfu,,Vorfu
140,,1,135,37,40 depth 0.20-0.30,DanaBunar2,Vorfu,,Vorfu
141,,1,136,37,41 depth 0.00-0.10,DanaBunar2,Vorfu,,Vorfu
142,,1,137,37,42 depth 0.00-0.10,DanaBunar2,Vorfu,,Vorfu
143,,1,138,38,1 depth 0.48-0.58,DanaBunar2,Vorfu,,Vorfu
144,,1,139,38,2 depth 0.35-0.45,DanaBunar2,Vorfu,,Vorfu
145,,1,140,38,3 depth 0.35-0.45,DanaBunar2,Vorfu,,Vorfu
146,,1,141,38,4 depth 0.00-0.10,DanaBunar2,Vorfu,,Vorfu
147,,1,142,38,5 depth 0.30-0.50,DanaBunar2,Vorfu,,Vorfu
148,,1,143,39,47 depth 0.00-0.10,DanaBunar2,Vorfu,,Vorfu
149,,1,144,39,48 depth 0.10-0.20,DanaBunar2,Vorfu,,Vorfu
150,,1,145,41,44 depth 0.00-0.10,DanaBunar2,Vorfu,,Vorfu
151,,1,146,41,46 depth 0.30-0.40,DanaBunar2,Vorfu,,Vorfu
152,,1,147,42,10 depth 0.10-0.20,DanaBunar2,Vorfu,,Vorfu
153,,1,148,42,6 depth 0.00-0.10,DanaBunar2,Vorfu,,Vorfu
154,,1,149,42,7 depth 0.00-0.10,DanaBunar2,Vorfu,,Vorfu
155,,1,150,42,8 depth 0.10-0.20,DanaBunar2,Vorfu,,Vorfu
156,,1,151,42,9 depth 0.10-0.20,DanaBunar2,Vorfu,,Vorfu
157,,1,152,44,87 depth 0.06-0.16,DanaBunar2,Vorfu,,Vorfu
158,,1,153,44,88 depth 0.20-0.30,DanaBunar2,Vorfu,,Vorfu
159,,1,154,44,89 depth 0.30-0.40,DanaBunar2,Vorfu,,Vorfu
160,,1,155,44,90 depth 0.16-0.26,DanaBunar2,Vorfu,,Vorfu
161,,1,156,44,91 depth 0.10-0.20,DanaBunar2,Vorfu,,Vorfu
162,,1,157,44,92 depth 0.00-0.10,DanaBunar2,Vorfu,,Vorfu
163,,1,158,44,93 depth 0.30-0.40,DanaBunar2,Vorfu,,Vorfu
164,,1,159,46,30 depth 0.60-0.70,DanaBunar2,Vorfu,,Vorfu
165,,1,160,46,31 depth 0.50-0.60,DanaBunar2,Vorfu,,Vorfu
166,,1,161,46,32 depth 0.60-0.70,DanaBunar2,Vorfu,,Vorfu
167,,1,162,46,33 depth 0.30-0.40,DanaBunar2,Vorfu,,Vorfu
168,,1,163,46,34 depth 0.40-0.50,DanaBunar2,Vorfu,,Vorfu
169,,1,164,46,35 depth 0.30-0.40,DanaBunar2,Vorfu,,Vorfu
170,,1,165,47,49 depth 0.10-0.20,DanaBunar2,Vorfu,,Vorfu
171,,1,166,47,50 depth 0.10-0.20,DanaBunar2,Vorfu,,Vorfu
172,,1,167,55,54 depth 1.00-1.10,DanaBunar2,Vorfu,,Vorfu
173,,1,168,55,55 depth 1.00-1.10,DanaBunar2,Vorfu,,Vorfu
174,,1,169,58,23 depth 0.10-0.20,DanaBunar2,Vorfu,,Vorfu
175,,1,170,58,24 depth 0.30-0.40,DanaBunar2,Vorfu,,Vorfu
176,,1,171,58,25 depth 0.00-0.10,DanaBunar2,Vorfu,,Vorfu
177,,1,172,58,26 depth 0.10-0.20,DanaBunar2,Vorfu,,Vorfu
178,,1,173,58,27 depth 0.30-0.40,DanaBunar2,Vorfu,,Vorfu
179,,1,174,58,28 depth 0.20-0.30,DanaBunar2,Vorfu,,Vorfu
180,,1,175,64,11 depth 0.10-0.20,DanaBunar2,Vorfu,,Vorfu
181,,1,176,64,12 depth 0.36-0.46,DanaBunar2,Vorfu,,Vorfu
182,,1,177,64,13 depth 0.26-0.36,DanaBunar2,Vorfu,,Vorfu
183,,1,178,64,16 depth 0.48-0.58,DanaBunar2,Vorfu,,Vorfu
184,,1,179,2709_fond,Isw 2013/32,Iswid,Vorfu,,Vorfu
185,,1,180,2905 fond,Isw 2013/26,Iswid,Vorfu,,Vorfu
186,,1,181,2913 fond,Isw 2013/33,Iswid,Vorfu,,Vorfu
187,,1,182,foyer 2174,Isw 2013/15,Iswid,Vorfu,,Vorfu
188,,1,182,foyer 2174,Isw 2013/15,Iswid,Vorfu,,Vorfu
189,,1,183,US 10503,Isw 2013/8,Iswid,Vorfu,,Vorfu
190,,1,183,US 10503,Isw 2013/8,Iswid,Vorfu,,Vorfu
191,,1,183,US 10503,Isw 2013/8,Iswid,Vorfu,,Vorfu
192,,1,184,US 10521,Isw 2013/20,Iswid,Vorfu,,Vorfu
193,,1,184,US 10521,Isw 2013/20,Iswid,Vorfu,,Vorfu
194,,1,184,US 10521,Isw 2013/20,Iswid,Vorfu,,Vorfu
195,,1,185,US 10534,Isw 2013/21,Iswid,Vorfu,,Vorfu
196,,1,185,US 10534,Isw 2013/21,Iswid,Vorfu,,Vorfu
197,,1,186,US 10610,Isw 2013/25,Iswid,Vorfu,,Vorfu
198,,1,186,US 10610,Isw 2013/25,Iswid,Vorfu,,Vorfu
199,,1,187,US 11004,Isw 2013/22,Iswid,Vorfu,,Vorfu
200,,1,187,US 11004,Isw 2013/22,Iswid,Vorfu,,Vorfu
201,,1,188,US 11012,Isw 2013/27,Iswid,Vorfu,,Vorfu
202,,1,189,US 11067,Isw 2013/28,Iswid,Vorfu,,Vorfu
203,,1,190,US 12025,Isw 2013/25,Iswid,Vorfu,,Vorfu
204,,1,190,US 12025,Isw 2013/25,Iswid,Vorfu,,Vorfu
205,,1,191,US 12040,Isw 2013/29,Iswid,Vorfu,,Vorfu
206,,1,192,US 12047,Isw 2013/30,Iswid,Vorfu,,Vorfu
207,,1,192,US 12047,Isw 2013/30,Iswid,Vorfu,,Vorfu
208,,1,193,US 12504,Isw 2013/31,Iswid,Vorfu,,Vorfu
209,,1,194,US 13017,Isw 2015/18,Iswid,Vorfu,,Vorfu
210,,1,195,US 13017,Isw 2016/41,Iswid,Vorfu,,Vorfu
211,,1,196,US 13065,Isw 2015/25,Iswid,Vorfu,,Vorfu
212,,1,196,US 13065,Isw 2015/25,Iswid,Vorfu,,Vorfu
213,,1,197,US 13066,Isw 2015/4,Iswid,Vorfu,,Vorfu
214,,1,197,US 13066,Isw 2015/4,Iswid,Vorfu,,Vorfu
215,,1,198,US 13083,Isw 2015/22,Iswid,Vorfu,,Vorfu
216,,1,199,US 13099,Isw 2015/9,Iswid,Vorfu,,Vorfu
217,,1,200,US 13145,Isw 2015/21,Iswid,Vorfu,,Vorfu
218,,1,200,US 13145,Isw 2015/21,Iswid,Vorfu,,Vorfu
219,,1,201,US 13516,Isw 2015/8,Iswid,Vorfu,,Vorfu
220,,1,201,US 13516,Isw 2015/8,Iswid,Vorfu,,Vorfu
221,,1,202,US 13526,Isw 2015/2,Iswid,Vorfu,,Vorfu
222,,1,203,US 13572,Isw 2015/12,Iswid,Vorfu,,Vorfu
223,,1,204,US 13610,Isw 2015/11,Iswid,Vorfu,,Vorfu
224,,1,205,US 13632,Isw 2016/15,Iswid,Vorfu,,Vorfu
225,,1,205,US 13632,Isw 2016/15,Iswid,Vorfu,,Vorfu
226,,1,206,US 13639,Isw2015/26,Iswid,Vorfu,,Vorfu
227,,1,207,US 13657,Isw 2015/17,Iswid,Vorfu,,Vorfu
228,,1,208,US 13705,Isw 2015/10,Iswid,Vorfu,,Vorfu
229,,1,209,US 13791,Isw 2015/5,Iswid,Vorfu,,Vorfu
230,,1,210,US 13791 (3),Isw 2015/7,Iswid,Vorfu,,Vorfu
231,,1,211,US 13802,Isw 2015/20,Iswid,Vorfu,,Vorfu
232,,1,212,US 13971,Isw 2015/7,Iswid,Vorfu,,Vorfu
233,,1,213,US 14021,Isw 2015/1,Iswid,Vorfu,,Vorfu
