system_id,sample_group_id,site_id,sample_group_name,sample_group_description,sampling_context_id,method_id,ProjektNr,Fustel,Befu,GrJahrBefu,Gebäude,okBefu,EVNr
1,,1,P16,,,,18_0025,Kville 1502,P16,2018,,X,
2,,1,P18,,,,18_0025,Kville 1502,P18,2018,,X,
3,,1,P20,,,,18_0025,Kville 1502,P20,2018,,X,
4,,1,P5,,,,18_0025,Kville 1502,P5,2018,,X,
5,,1,P6,,,,18_0025,Kville 1502,P6,2018,,X,
6,,2,A11148,,,,19_0013,Blaker kirkegård,A11148,2018,,X,224073
7,,2,A479,,,,19_0013,Blaker kirkegård,A479,2018,,X,224073
8,,2,A6214,,,,19_0013,Blaker kirkegård,A6214,2018,,X,224073
9,,2,A8090,,,,19_0013,Blaker kirkegård,A8090,2018,,X,224073
10,,2,A9063,,,,19_0013,Blaker kirkegård,A9063,2018,,X,224073
11,,3,A10143,,,,19_0014,Blaker kirkegård,A10143,2018,,X,224073
12,,3,A10153,,,,19_0014,Blaker kirkegård,A10153,2018,,X,224073
13,,3,A10189,,,,19_0014,Blaker kirkegård,A10189,2018,,X,224073
14,,3,A10229,,,,19_0014,Blaker kirkegård,A10229,2018,,X,224073
15,,3,A10697,,,,19_0014,Blaker kirkegård,A10697,2018,,X,224073
16,,3,A10990,,,,19_0014,Blaker kirkegård,A10990,2018,,X,224073
17,,3,A11339,,,,19_0014,Blaker kirkegård,A11339,2018,,X,224073
18,,3,A1196,,,,19_0014,Blaker kirkegård,A1196,2018,,X,224073
19,,3,A12024,,,,19_0014,Blaker kirkegård,A12024,2018,,X,224073
20,,3,A12034,,,,19_0014,Blaker kirkegård,A12034,2018,,X,224073
21,,3,A12435,,,,19_0014,Blaker kirkegård,A12435,2018,,X,224073
22,,3,A13064,,,,19_0014,Blaker kirkegård,A13064,2018,,X,224073
23,,3,A13200,,,,19_0014,Blaker kirkegård,A13200,2018,,X,224073
24,,3,A13299,,,,19_0014,Blaker kirkegård,A13299,2018,,X,224073
25,,3,A13837,,,,19_0014,Blaker kirkegård,A13837,2018,,X,224073
26,,3,A15333,,,,19_0014,Blaker kirkegård,A15333,2018,,X,224073
27,,3,A15344,,,,19_0014,Blaker kirkegård,A15344,2018,,X,224073
28,,3,A15554,,,,19_0014,Blaker kirkegård,A15554,2018,,X,224073
29,,3,A15736,,,,19_0014,Blaker kirkegård,A15736,2018,,X,224073
30,,3,A16771,,,,19_0014,Blaker kirkegård,A16771,2018,,X,224073
31,,3,A16783,,,,19_0014,Blaker kirkegård,A16783,2018,,X,224073
32,,3,A17294,,,,19_0014,Blaker kirkegård,A17294,2018,,X,224073
33,,3,A1875,,,,19_0014,Blaker kirkegård,A1875,2018,,X,224073
34,,3,A1931,,,,19_0014,Blaker kirkegård,A1931,2018,,X,224073
