system_id,sample_sample_type_id,type_name,description,ProbTyp,Befu,ProbNr,ProjektNr
1,,Eim,,Eim,P16,18_0025_0003,18_0025
2,,Eim,,Eim,P18,18_0025_0004,18_0025
3,,Eim,,Eim,P20,18_0025_0005,18_0025
4,,Eim,,Eim,P5,18_0025_0001,18_0025
5,,Eim,,Eim,P6,18_0025_0002,18_0025
6,,Eim,,Eim,A11148,19_0013_0013,19_0013
7,,Eim,,Eim,A11148,19_0013_0014,19_0013
8,,Eim,,Eim,A11148,19_0013_0015,19_0013
9,,Eim,,Eim,A11148,19_0013_0020,19_0013
10,,Eim,,Eim,A479,19_0013_0010,19_0013
11,,Eim,,Eim,A479,19_0013_0011,19_0013
12,,Eim,,Eim,A479,19_0013_0012,19_0013
13,,Eim,,Eim,A479,19_0013_0019,19_0013
14,,Eim,,Eim,A6214,19_0013_0007,19_0013
15,,Eim,,Eim,A6214,19_0013_0008,19_0013
16,,Eim,,Eim,A6214,19_0013_0009,19_0013
17,,Eim,,Eim,A6214,19_0013_0018,19_0013
18,,Eim,,Eim,A8090,19_0013_0004,19_0013
19,,Eim,,Eim,A8090,19_0013_0005,19_0013
20,,Eim,,Eim,A8090,19_0013_0006,19_0013
21,,Eim,,Eim,A8090,19_0013_0017,19_0013
22,,Eim,,Eim,A9063,19_0013_0001,19_0013
23,,Eim,,Eim,A9063,19_0013_0002,19_0013
24,,Eim,,Eim,A9063,19_0013_0003,19_0013
25,,Eim,,Eim,A9063,19_0013_0016,19_0013
26,,Eim,,Eim,A10143,19_0014_0040,19_0014
27,,Eim,,Eim,A10153,19_0014_0037,19_0014
28,,Eim,,Eim,A10189,19_0014_0042,19_0014
29,,Eim,,Eim,A10229,19_0014_0039,19_0014
30,,Eim,,Eim,A10697,19_0014_0067,19_0014
31,,Eim,,Eim,A10990,19_0014_0055,19_0014
32,,Eim,,Eim,A11339,19_0014_0068,19_0014
33,,Eim,,Eim,A1196,19_0014_0044,19_0014
34,,Eim,,Eim,A12024,19_0014_0056,19_0014
35,,Eim,,Eim,A12024,19_0014_0057,19_0014
36,,Eim,,Eim,A12034,19_0014_0058,19_0014
37,,Eim,,Eim,A12435,19_0014_0069,19_0014
38,,Eim,,Eim,A13064,19_0014_0071,19_0014
39,,Eim,,Eim,A13200,19_0014_0041,19_0014
40,,Eim,,Eim,A13299,19_0014_0072,19_0014
41,,Eim,,Eim,A13837,19_0014_0060,19_0014
42,,Eim,,Eim,A15333,19_0014_0061,19_0014
43,,Eim,,Eim,A15344,19_0014_0074,19_0014
44,,Eim,,Eim,A15554,19_0014_0075,19_0014
45,,Eim,,Eim,A15736,19_0014_0059,19_0014
46,,Eim,,Eim,A16771,19_0014_0008,19_0014
47,,Eim,,Eim,A16783,19_0014_0005,19_0014
48,,Eim,,Eim,A17294,19_0014_0016,19_0014
49,,Eim,,Eim,A1875,19_0014_0046,19_0014
50,,Eim,,Eim,A1931,19_0014_0047,19_0014
51,,Eim,,Eim,A1998,19_0014_0048,19_0014
52,,Eim,,Eim,A2019,19_0014_0049,19_0014
53,,Eim,,Eim,A2029,19_0014_0050,19_0014
54,,Eim,,Eim,A2114,19_0014_0051,19_0014
55,,Eim,,Eim,A3019,19_0014_0052,19_0014
56,,Eim,,Eim,A3170,19_0014_0066,19_0014
57,,Eim,,Eim,A3650,19_0014_0053,19_0014
58,,Eim,,Eim,A4115,19_0014_0023,19_0014
59,,Eim,,Eim,A4365,19_0014_0054,19_0014
60,,Eim,,Eim,A5192,19_0014_0020,19_0014
61,,Eim,,Eim,A5213,19_0014_0019,19_0014
62,,Eim,,Eim,A5223,19_0014_0018,19_0014
63,,Eim,,Eim,A5254,19_0014_0029,19_0014
64,,Eim,,Eim,A5282,19_0014_0021,19_0014
65,,Eim,,Eim,A5294,19_0014_0022,19_0014
66,,Eim,,Eim,A5307,19_0014_0024,19_0014
67,,Eim,,Eim,A5334,19_0014_0063,19_0014
68,,Eim,,Eim,A6041,19_0014_0034,19_0014
69,,Eim,,Eim,A6135,19_0014_0015,19_0014
70,,Eim,,Eim,A6146,19_0014_0033,19_0014
71,,Eim,,Eim,A6157,19_0014_0035,19_0014
72,,Eim,,Eim,A6178,19_0014_0017,19_0014
73,,Eim,,Eim,A6194,19_0014_0025,19_0014
74,,Eim,,Eim,A7199,19_0014_0032,19_0014
75,,Eim,,Eim,A7253,19_0014_0014,19_0014
76,,Eim,,Eim,A7263,19_0014_0030,19_0014
77,,Eim,,Eim,A7294,19_0014_0013,19_0014
78,,Eim,,Eim,A7306,19_0014_0036,19_0014
79,,Eim,,Eim,A785,19_0014_0043,19_0014
80,,Eim,,Eim,A8079,19_0014_0007,19_0014
81,,Eim,,Eim,A8103,19_0014_0009,19_0014
82,,Eim,,Eim,A8114,19_0014_0011,19_0014
83,,Eim,,Eim,A8142,19_0014_0026,19_0014
84,,Eim,,Eim,A8178,19_0014_0031,19_0014
85,,Eim,,Eim,A8189,19_0014_0012,19_0014
86,,Eim,,Eim,A8234,19_0014_0010,19_0014
87,,Eim,,Eim,A9000,19_0014_0027,19_0014
88,,Eim,,Eim,A9052,19_0014_0028,19_0014
89,,Eim,,Eim,A9075,19_0014_0003,19_0014
90,,Eim,,Eim,A9111,19_0014_0001,19_0014
91,,Eim,,Eim,A9126,19_0014_0004,19_0014
92,,Eim,,Eim,A9199,19_0014_0006,19_0014
93,,Eim,,Eim,A957,19_0014_0064,19_0014
94,,Eim,,Eim,A973,19_0014_0065,19_0014
95,,Eim,,Eim,A9847,19_0014_0002,19_0014
96,,Eim,,Eim,11200,22_0005_0001,22_0005
97,,Eim,,Eim,11201,22_0005_0002,22_0005
98,,Eim,,Eim,11221,22_0005_0003,22_0005
99,,Eim,,Eim,12026,22_0005_0004,22_0005
100,,Eim,,Eim,200125,22_0005_0012,22_0005
101,,Eim,,Eim,200149,22_0005_0013,22_0005
102,,Eim,,Eim,200177,22_0005_0009,22_0005
103,,Eim,,Eim,200473,22_0005_0005,22_0005
104,,Eim,,Eim,200475,22_0005_0006,22_0005
105,,Eim,,Eim,23362,22_0005_0010,22_0005
106,,Eim,,Eim,23434,22_0005_0007,22_0005
107,,Eim,,Eim,23491,22_0005_0008,22_0005
108,,Eim,,Eim,23988,22_0005_0011,22_0005
109,,Eim,,Eim,A2076,22_0015_0017,22_0015
110,,Eim,,Eim,A2154,22_0015_0020,22_0015
111,,Eim,,Eim,A2874 G2976,22_0015_0014,22_0015
112,,Eim,,Eim,A4796,22_0015_0013,22_0015
113,,Eim,,Eim,M153 St 1,22_0015_0006,22_0015
114,,Eim,,Eim,M153 St 2,22_0015_0007,22_0015
115,,Eim,,Eim,M160 St 1,22_0015_0001,22_0015
116,,Eim,,Eim,M167 St 1,22_0015_0002,22_0015
117,,Eim,,Eim,M167 St 2,22_0015_0003,22_0015
118,,Eim,,Eim,M167 St 3,22_0015_0004,22_0015
119,,Eim,,Eim,M167 St 4,22_0015_0005,22_0015
120,,Eim,,Eim,M32 Undre del,2022_0015_0009,22_0015
121,,Eim,,Eim,M32 Övre del,2022_0015_0008,22_0015
122,,Eim,,Eim,M99 A5085,2022_0015_0010,22_0015
123,,Eim,,Eim,M99 A5085,2022_0015_0012,22_0015
124,,Eim,,Eim,31,17 depth 0.10-0.20,DanaBunar2
125,,Eim,,Eim,31,17a depth 0.00-0.20,DanaBunar2
126,,Eim,,Eim,32,51 depth 0.00-0.10,DanaBunar2
127,,Eim,,Eim,32,52 depth 0.10-0.20,DanaBunar2
128,,Eim,,Eim,32,53 depth 0.00-0.10,DanaBunar2
129,,Eim,,Eim,33,18 depth 0.20-0.30,DanaBunar2
130,,Eim,,Eim,33,19 depth 0.00-0.10,DanaBunar2
131,,Eim,,Eim,33,20 depth 0.10-0.30,DanaBunar2
132,,Eim,,Eim,33,21 depth 0.30-0.40,DanaBunar2
133,,Eim,,Eim,33,22 depth 0.20-0.30,DanaBunar2
134,,Eim,,Eim,37,39 depth 0.10-0.20,DanaBunar2
135,,Eim,,Eim,37,40 depth 0.20-0.30,DanaBunar2
136,,Eim,,Eim,37,41 depth 0.00-0.10,DanaBunar2
137,,Eim,,Eim,37,42 depth 0.00-0.10,DanaBunar2
138,,Eim,,Eim,38,1 depth 0.48-0.58,DanaBunar2
139,,Eim,,Eim,38,2 depth 0.35-0.45,DanaBunar2
140,,Eim,,Eim,38,3 depth 0.35-0.45,DanaBunar2
141,,Eim,,Eim,38,4 depth 0.00-0.10,DanaBunar2
142,,Eim,,Eim,38,5 depth 0.30-0.50,DanaBunar2
143,,Eim,,Eim,39,47 depth 0.00-0.10,DanaBunar2
144,,Eim,,Eim,39,48 depth 0.10-0.20,DanaBunar2
145,,Eim,,Eim,41,44 depth 0.00-0.10,DanaBunar2
146,,Eim,,Eim,41,46 depth 0.30-0.40,DanaBunar2
147,,Eim,,Eim,42,10 depth 0.10-0.20,DanaBunar2
148,,Eim,,Eim,42,6 depth 0.00-0.10,DanaBunar2
149,,Eim,,Eim,42,7 depth 0.00-0.10,DanaBunar2
150,,Eim,,Eim,42,8 depth 0.10-0.20,DanaBunar2
151,,Eim,,Eim,42,9 depth 0.10-0.20,DanaBunar2
152,,Eim,,Eim,44,87 depth 0.06-0.16,DanaBunar2
153,,Eim,,Eim,44,88 depth 0.20-0.30,DanaBunar2
154,,Eim,,Eim,44,89 depth 0.30-0.40,DanaBunar2
155,,Eim,,Eim,44,90 depth 0.16-0.26,DanaBunar2
156,,Eim,,Eim,44,91 depth 0.10-0.20,DanaBunar2
