sample_id,taxon_id,PCODE,ProjektNr,Befu,ProbNr,TaxAut,BNam
1,1,AECYN,18_0025,P16,18_0025_0003,L.,Aethusa cynapium
1,2,ALNU,18_0025,P16,18_0025_0003,Gaertn.,Alnus spec.
1,3,APIAC,18_0025,P16,18_0025_0003,,Apiaceae
1,4,ATRI,18_0025,P16,18_0025_0003,L.,Atriplex spec.
1,5,CERA,18_0025,P16,18_0025_0003,L.,Cerastium spec.
1,6,CHALB,18_0025,P16,18_0025_0003,L.,Chenopodium album
1,7,FRVES,18_0025,P16,18_0025_0003,L.,Fragaria vesca
1,8,GAIS,18_0025,P16,18_0025_0003,L.,Galeopsis spec.
1,9,GLHEH,18_0025,P16,18_0025_0003,L.,Glechoma hederacea
1,10,HELE,18_0025,P16,18_0025_0003,,Eleocharis
1,11,PLMAJ,18_0025,P16,18_0025_0003,L.,Plantago major s.l.
1,12,POAVI,18_0025,P16,18_0025_0003,,Polygonum aviculare agg.
1,13,POLCO,18_0025,P16,18_0025_0003,(L.) A. Löve,Polygonum convolvulus
1,14,POLPE,18_0025,P16,18_0025_0003,L./L.,Polygonum lapathifolium/persicaria
1,15,PRPAD,18_0025,P16,18_0025_0003,L.,Prunus padus
1,16,RANU,18_0025,P16,18_0025_0003,L.,Ranunculus spec.
1,17,RUIDA,18_0025,P16,18_0025_0003,L.,Rubus idaeus
1,18,SILE,18_0025,P16,18_0025_0003,L.,Silene spec.
1,19,SOLA,18_0025,P16,18_0025_0003,L.,Solanum spec.
1,20,SPARV,18_0025,P16,18_0025_0003,L.,Spergula arvensis
1,21,STGRA,18_0025,P16,18_0025_0003,L.,Stellaria graminea
1,22,STMES,18_0025,P16,18_0025_0003,,Stellaria media
1,23,TOJAP,18_0025,P16,18_0025_0003,(Houtt.) DC.,Torilis japonica
1,24,URDIO,18_0025,P16,18_0025_0003,L.,Urtica dioica
2,1,AECYN,18_0025,P18,18_0025_0004,L.,Aethusa cynapium
2,25,ALGLI,18_0025,P18,18_0025_0004,,Alnus glutinosa/incana
2,4,ATRI,18_0025,P18,18_0025_0004,L.,Atriplex spec.
2,26,BITRI,18_0025,P18,18_0025_0004,L.,Bidens tripartita
2,6,CHALB,18_0025,P18,18_0025_0004,L.,Chenopodium album
2,27,COAVE,18_0025,P18,18_0025_0004,L.,Corylus avellana
2,28,FIULM,18_0025,P18,18_0025_0004,(L.) Maxim.,Filipendula ulmaria
2,8,GAIS,18_0025,P18,18_0025_0004,L.,Galeopsis spec.
2,29,HULUP,18_0025,P18,18_0025_0004,L.,Humulus lupulus
2,13,POLCO,18_0025,P18,18_0025_0004,(L.) A. Löve,Polygonum convolvulus
2,14,POLPE,18_0025,P18,18_0025_0004,L./L.,Polygonum lapathifolium/persicaria
2,30,RAFIC,18_0025,P18,18_0025_0004,L.,Ranunculus ficaria
2,16,RANU,18_0025,P18,18_0025_0004,L.,Ranunculus spec.
2,17,RUIDA,18_0025,P18,18_0025_0004,L.,Rubus idaeus
2,31,SCSIL,18_0025,P18,18_0025_0004,L.,Scirpus sylvaticus
2,32,SIDIO,18_0025,P18,18_0025_0004,(L.) Clairv.,Silene dioica
2,33,STAC,18_0025,P18,18_0025_0004,L.,Stachys spec.
2,34,STEL,18_0025,P18,18_0025_0004,L.,Stellaria spec.
2,24,URDIO,18_0025,P18,18_0025_0004,L.,Urtica dioica
3,25,ALGLI,18_0025,P20,18_0025_0005,,Alnus glutinosa/incana
3,3,APIAC,18_0025,P20,18_0025_0005,,Apiaceae
3,4,ATRI,18_0025,P20,18_0025_0005,L.,Atriplex spec.
3,35,CARE,18_0025,P20,18_0025_0005,,Carex spec.
3,6,CHALB,18_0025,P20,18_0025_0005,L.,Chenopodium album
3,8,GAIS,18_0025,P20,18_0025_0005,L.,Galeopsis spec.
3,9,GLHEH,18_0025,P20,18_0025_0005,L.,Glechoma hederacea
3,36,INDET,18_0025,P20,18_0025_0005,,Indeterminata
3,12,POAVI,18_0025,P20,18_0025_0005,,Polygonum aviculare agg.
3,13,POLCO,18_0025,P20,18_0025_0005,(L.) A. Löve,Polygonum convolvulus
3,14,POLPE,18_0025,P20,18_0025_0005,L./L.,Polygonum lapathifolium/persicaria
3,16,RANU,18_0025,P20,18_0025_0005,L.,Ranunculus spec.
3,17,RUIDA,18_0025,P20,18_0025_0005,L.,Rubus idaeus
3,31,SCSIL,18_0025,P20,18_0025_0005,L.,Scirpus sylvaticus
3,32,SIDIO,18_0025,P20,18_0025_0005,(L.) Clairv.,Silene dioica
3,19,SOLA,18_0025,P20,18_0025_0005,L.,Solanum spec.
