system_id,site_location_id,location_id,site_id,EVNr,Fustel,ProjektNr,location_name,location_type
1,,1,1,,Kville 1502,18_0025,Kville,Ort
2,,2,2,224073,Blaker kirkegård,19_0013,Foss Nordre 121/5,Ort
3,,3,3,224073,Blaker kirkegård,19_0014,Foss nordre 121/5,Ort
4,,4,4,L1960:2928,Göteborg 342,22_0005,Göteborgs stad,Ort
5,,5,5,L1969:1130,Sandarna Gbg 15:1,22_0015,Göteborg,Ort
6,,6,6,,,DanaBunar2,,Ort
7,,6,7,,ISW,Iswid,,Ort
8,,7,1,,Kville 1502,18_0025,Tanum,Kreis
9,,8,2,224073,Blaker kirkegård,19_0013,Sørum,Kreis
10,,8,3,224073,Blaker kirkegård,19_0014,Sørum,Kreis
11,,9,4,L1960:2928,Göteborg 342,22_0005,Göteborg,Kreis
12,,9,5,L1969:1130,Sandarna Gbg 15:1,22_0015,Göteborg,Kreis
13,,10,6,,,DanaBunar2,,Kreis
14,,11,7,,ISW,Iswid,Sharqiyah,Kreis
15,,12,1,,Kville 1502,18_0025,Bohuslän,Land
16,,13,2,224073,Blaker kirkegård,19_0013,Akershus,Land
17,,13,3,224073,Blaker kirkegård,19_0014,Akershus,Land
18,,14,4,L1960:2928,Göteborg 342,22_0005,Västra Götaland,Land
19,,14,5,L1969:1130,Sandarna Gbg 15:1,22_0015,Västra Götaland,Land
20,,15,6,,,DanaBunar2,Hessen,Land
21,,16,7,,ISW,Iswid,,Land
22,,17,1,,Kville 1502,18_0025,Sweden,Staat
23,,18,2,224073,Blaker kirkegård,19_0013,Norway,Staat
24,,18,3,224073,Blaker kirkegård,19_0014,Norway,Staat
25,,19,4,L1960:2928,Göteborg 342,22_0005,Sverige,Staat
26,,19,5,L1969:1130,Sandarna Gbg 15:1,22_0015,Sverige,Staat
27,,20,6,,,DanaBunar2,,Staat
28,,21,7,,ISW,Iswid,Egypt,Staat
29,,22,1,,Kville 1502,18_0025,Hjälpesten,FlurStr
30,,23,2,224073,Blaker kirkegård,19_0013,2017/9030,FlurStr
31,,23,3,224073,Blaker kirkegård,19_0014,2017/9030,FlurStr
32,,24,4,L1960:2928,Göteborg 342,22_0005,,FlurStr
33,,24,5,L1969:1130,Sandarna Gbg 15:1,22_0015,,FlurStr
34,,24,6,,,DanaBunar2,,FlurStr
35,,24,7,,ISW,Iswid,,FlurStr
