entity	num_rows	num_columns
survey	2364	151
master_dataset	1	7
coordinate_method_dimension	5	7
chronological_period	1	4
site_type_group	4	6
dimensions	43	3
archaeological_period	17	4
eco_groups	22	4
taxa	220	16
taxa_use_categories	220	13
feature_property_type	7	6
taxa_oberdorfer_characteristics	220	15
method_group	15	3
location_type	5	5
sample_type	1	6
identification_level	6	5
taxa_persistence	220	7
method	8	8
epoch	8	4
site_coordinate	7	9
modification_type	5	6
location	24	5
site_type	6	8
natural_region_group	1	3
natural_region	1	5
site	7	15
site_location	35	8
project	7	9
site_natural_region	7	8
feature_type	186	10
feature	186	9
site_site_type	8	9
dataset	56	10
contact_type	5	5
taxa_dominance	220	6
natural_sub_region	1	5
taxa_ecological_behaviour	241	20
contact	27	4
cultural_group	2	3
site_property_type	5	4
site_property	32	9
taxa_briemle_characteristics	220	8
sample_description_type	11	5
taxa_plant_sociological_behaviour	227	18
remain_type_group	5	3
remain_type	30	5
feature_property	1302	9
sample_group	186	14
sample	246	13
dating	246	8
sample_method	0	10
sample_chronological_period	2170	12
sample_taxa	2364	8
result	2364	19
sample_coordinate	1230	9
sample_archaeological_period	2170	12
sample_cultural_group	246	8
sample_description	3146	10
sample_sample_type	246	10
