system_id,ecological_behaviour_id,taxon_id,PCODE,F,F_s,F_u,K,K_u,L,L_u,N,N_u,Re,Re_u,S,S_u,SMet,T,T_u
1,,1,AECYN,5,,,3,,6,,6.0,,8,,0.0,,,6,
2,,2,ALNU,,,,,,,,,,,,,,,,
3,,3,APIAC,,,,,,,,,,,,,,,,
4,,4,ATRI,,,,,,,,,,,,,,,,
5,,5,CERA,,,,,,,,,,,,,,,,
6,,6,CHALB,4,,,x,,x,,7.0,,x,,0.0,,,x,
7,,7,FRVES,5,,,5,,7,,6.0,,x,,0.0,,,x,
8,,8,GAIS,,,,,,,,,,,,,,,,
9,,9,GLHEH,6,,,3,,6,,7.0,,x,,0.0,,,6,
10,,10,HELE,,,,,,,,,,,,,,,,
11,,11,PLMAJ,,,,,,,,,,,,,,,,
12,,12,POAVI,,,,,,7,,6.0,,x,,1.0,,,6,
13,,13,POLCO,,,,5,,7,,6.0,!,x,,0.0,,,6,
14,,14,POLPE,,,,,,,,,,,,,,,,
15,,15,PRPAD,8,Ü,,3,,5,,6.0,,7,,0.0,,,5,
16,,16,RANU,,,,,,,,,,,,,,,,
17,,17,RUIDA,x,,,x,,7,,6.0,,x,,0.0,,,x,
18,,18,SILE,,,,,,,,,,,,,,,,
19,,19,SOLA,,,,,,,,,,,,,,,,
20,,20,SPARV,5,,,3,,6,,6.0,,3,,0.0,,,5,
21,,21,STGRA,5,,,x,,6,,3.0,,4,,0.0,,,x,
22,,22,STMES,,,,,,,,,,,,,,,,
23,,23,TOJAP,5,,,3,,6,,8.0,,8,,0.0,,,6,
24,,24,URDIO,6,,,x,,x,,9.0,,7,,0.0,,,x,
25,,25,ALGLI,,,,,,,,,,,,,,,,
26,,26,BITRI,9,Ü,,x,,8,,8.0,,x,,0.0,,,6,
27,,27,COAVE,x,,,3,,6,,5.0,!,x,,0.0,,,5,
28,,28,FIULM,8,,,x,,7,,5.0,,x,,0.0,,,5,
29,,29,HULUP,8,Ü,,3,,7,,8.0,,6,,0.0,,,6,
30,,30,RAFIC,6,,,3,,4,,7.0,,7,,0.0,,,5,
31,,31,SCSIL,8,,,4,,6,,4.0,,4,,0.0,,,5,
32,,32,SIDIO,6,,,4,,x,,8.0,,7,,0.0,,,x,
33,,33,STAC,,,,,,,,,,,,,,,,
34,,34,STEL,,,,,,,,,,,,,,,,
35,,35,CARE,,,,,,,,,,,,,,,,
36,,36,INDET,,,,,,,,,,,,,,,,
37,,37,SPAR,,,,,,,,,,,,,,,,
38,,38,BETU,,,,,,,,,,,,,,,,
39,,39,FRAX,,,,,,,,,,,,,,,,
40,,40,PINU,,,,,,,,,,,,,,,,
41,,41,PRUN,,,,,,,,,,,,,,,,
42,,42,RUCRI,7,w,,3,,7,,6.0,,x,,0.0,,,5,
43,,43,AVSAT,,,,,,,,,,,,,,,,
44,,44,CEREA,,,,,,,,,,,,,,,,
45,,45,GASPU,5,,,5,,7,,5.0,,8,,0.0,,,x,
46,,46,HODIV,,,,,,,,,,,,,,,,
47,,47,HODVN,,,,,,,,,,,,,,,,
48,,48,HODVS,,,,,,,,,,,,,,,,
49,,49,LAMI,,,,,,,,,,,,,,,,
50,,50,POLAP,,,,8,,6,,8.0,,x,,0.0,,,6,
51,,51,CATRI,,,,,,,,,,,,,,,,
52,,52,POACE,,,,,,,,,,,,,,,,
53,,53,RUMAC,,,,3,,8,,2.0,!,2,,0.0,,s,5,
54,,54,THARV,5,,,x,,6,,6.0,,7,,0.0,,,5,
55,,55,GALI,,,,,,,,,,,,,,,,
56,,56,RUME,,,,,,,,,,,,,,,,
57,,57,SONIG,5,,,3,,7,,8.0,,7,,0.0,,,6,
58,,58,BRAS,,,,,,,,,,,,,,,,
59,,59,TRAED,,,,,,,,,,,,,,,,
60,,60,LIUSI,,,,,,,,,,,,,,,,
61,,61,MEDME,,,,,,,,,,,,,,,,
62,,62,TRIT,,,,,,,,,,,,,,,,
