system_id,plant_sociological_behaviour_id,PCODE,G,G_u,Kl,Kl_u,O,O_u,Soz,Soz_u,U,U_u,V,V_u,Ökogruppe,Ökogruppe_u
1,,AECYN,3,,3.0,,3.0,,3.331,,,,,,3.0,!
2,,ALNU,8,,,,,,8,,,,,,10.0,
3,,APIAC,,,,,,,,,,,,,11.0,
4,,ATRI,3,,,,,,3,,,,,,4.0,!
5,,CERA,,,,,,,,,,,,,11.0,
6,,CHALB,3,,3.0,,,,3.3,,,,,,4.0,
7,,FRVES,6,,2.0,,,,6.2,,,,,,2.0,
8,,GAIS,,,,,,,,,,,,,4.0,!
9,,GLHEH,3,,5.0,,3.0,,3.53,,,,,,3.0,
10,,HELE,,,,,,,,,,,,,,
11,,PLMAJ,,,,,,,,,,,,,11.0,
12,,POAVI,3,,7.0,,1.0,,3.711,,,,1.0,,2.0,!
13,,POLCO,3,!,4.0,!,,,3.4,!,,,,,7.0,
14,,POLPE,,,,,,,,,,,,,11.0,
15,,PRPAD,8,,4.0,,3.0,,8.433,,,,3.0,,10.0,
16,,RANU,,,,,,,,,,,,,11.0,
17,,RUIDA,,,,,,,,,,,,,10.0,!
18,,SILE,,,,,,,,,,,,,11.0,
19,,SOLA,,,,,,,,,,,,,11.0,
20,,SPARV,3,,3.0,,1.0,,3.31,,,,,,6.0,
21,,STGRA,3,,,,,,3.4,,,,,,2.0,
22,,STMES,,,,,,,,,,,,,,
23,,TOJAP,3,,5.0,,3.0,,3.532,,,,2.0,,3.0,!
24,,URDIO,3,!,5.0,!,,,3.5,!,,,,,3.0,
25,,ALGLI,,,,,,,,,,,,,,
26,,BITRI,3,,2.0,,1.0,,3.21,,,,,,1.0,
27,,COAVE,8,,4.0,,,,8.4,,,,,,10.0,
28,,FIULM,5,!,4.0,!,1.0,!,5.412,!,,,2.0,!,2.0,
29,,HULUP,8,,,,,,8,,,,,,10.0,
30,,RAFIC,8,,4.0,,,,8.4,,,,,,10.0,
31,,SCSIL,5,!,4.0,!,1.0,!,5.415,!,,,5.0,!,2.0,!
32,,SIDIO,x,,,,,,x,,,,,,,
33,,STAC,,,,,,,,,,,,,11.0,
34,,STEL,,,,,,,,,,,,,11.0,
35,,CARE,,,,,,,,,,,,,11.0,
36,,INDET,,,,,,,,,,,,,20.0,
37,,SPAR,,,,,,,,,,,,,,
38,,BETU,,,,,,,,,,,,,,
39,,FRAX,,,,,,,,,,,,,,
40,,PINU,,,,,,,,,,,,,9.0,
41,,PRUN,,,,,,,,,,,,,10.0,!
42,,RUCRI,3,!,8.0,!,1.0,!,3.811,!,,,1.0,!,1.0,!
43,,AVSAT,,,,,,,,,,,,,5.0,
44,,CEREA,,,,,,,,,,,,,5.0,
45,,GASPU,3,,4.0,,,,3.4,,,,,,7.0,!
46,,HODIV,,,,,,,,,,,,,5.0,
47,,HODVN,,,,,,,,,,,,,5.0,
48,,HODVS,,,,,,,,,,,,,5.0,
49,,LAMI,,,,,,,,,,,,,11.0,
50,,POLAP,3,,2.0,,1.0,,3.21,,,,,,1.0,
51,,CATRI,,,,,,,,,,,,,11.0,
52,,POACE,,,,,,,,,,,,,11.0,
53,,RUMAC,(,,,,,,(5.2),,,,,,2.0,!
54,,THARV,3,!,3.0,!,1.0,!,3.311,!,,,1.0,!,6.0,
55,,GALI,,,,,,,,,,,,,11.0,
56,,RUME,,,,,,,,,,,,,11.0,
57,,SONIG,3,,3.0,,,,3.3,,,,,,4.0,
58,,BRAS,,,,,,,,,,,,,11.0,
59,,TRAED,,,,,,,,,,,,,5.0,
60,,LIUSI,,,,,,,,,,,,,5.0,
61,,MEDME,,,,,,,,,,,,,,
62,,TRIT,,,,,,,,,,,,,5.0,
63,,PRVUL,5,!,4.0,!,,,5.4,!,,,,,2.0,
64,,MELI,,,,,,,,,,,,,3.0,!
65,,VIOL,,,,,,,,,,,,,11.0,
66,,FUOFF,3,,3.0,,1.0,,3.311,,,,1.0,,6.0,
67,,PIEXC,7,,3.0,,1.0,,7.31,,,,,,9.0,
68,,CENT,,,,,,,,,,,,,2.0,!
69,,EUHEL,3,,3.0,,1.0,,3.311,,,,1.0,,6.0,!
70,,FABAC,,,,,,,,,,,,,11.0,
71,,JUCOC,x,,,,,,x,,,,,,10.0,!
72,,PHLE,,,,,,,,,,,,,,
73,,POPER,3,,3.0,,1.0,,3.31,,,,,,6.0,
74,,POTE,,,,,,,,,,,,,11.0,
75,,TRIF,,,,,,,,,,,,,2.0,!
76,,TYARU,1,!,5.0,!,1.0,!,1.51,!,,,,,1.0,
77,,TRDSP,,,,,,,,,,,,,5.0,
78,,ALCH,,,,,,,,,,,,,2.0,!
79,,GALAS,,,,,,,,,,,,,4.0,
80,,GAAPA,3,!,5.0,!,,,3.5,!,,,,,3.0,!
81,,LAPIV,,,,,,,,,,,,,11.0,
82,,CAMSA,x,,,,,,x,,,,,,5.0,
83,,BROM,,,,,,,,,,,,,11.0,
84,,CHEN,3,,,,,,3,,,,,,4.0,
85,,CABIC,,,,,,,,,,,,,11.0,
86,,ALGLU,8,,2.0,,1.0,,8.211,,,,1.0,,10.0,
87,,ARCMI,3,,5.0,,1.0,,3.511,,,,1.0,,3.0,
88,,ASTER,,,,,,,,,,,,,11.0,
89,,BRSEC,3,,4.0,,2.0,,3.42,,,,,,7.0,
90,,CECYA,3,,4.0,,2.0,,3.42,,,,,,7.0,
91,,COMA,,,,,,,,,,,,,,
92,,HEPAL,1,,5.0,,1.0,,1.51,,,,,,1.0,
93,,OXACE,x,,,,,,x,,,,,,,
94,,POERE,5,!,1.0,!,,,5.1,!,,,,,2.0,
95,,RAARE,,,,,,,,,,,,,11.0,
96,,RASCE,3,,2.0,,1.0,,3.211,,,,1.0,,1.0,
97,,RUFRU,,,,,,,,,,,,,10.0,!
98,,SCTAB,1,,5.0,,1.0,,1.512,,,,2.0,,1.0,
99,,SISEL,5,!,4.0,!,1.0,!,5.41,!,,,,,2.0,
100,,URURE,3,,3.0,,,,3.3,,,,,,4.0,
101,,EUPEP,3,!,3.0,!,1.0,!,3.311,!,,,1.0,!,6.0,
102,,FICAR,,,,,,,,,,,,,8.0,
103,,LUMUL,5,!,1.0,!,,,5.1,!,,,,,2.0,
104,,PAPA,,,,,,,,,,,,,4.0,
105,,SANIG,,,,,,,,,,,,,10.0,
106,,SECER,,,,,,,,,,,,,5.0,
107,,SODUL,x,,,,,,x,,,,,,1.0,
108,,STPAL,1,!,7.0,!,3.0,!,1.73,!,,,,,1.0,
109,,TARA,,,,,,,,,,,,,2.0,
110,,HYNIG,3,,5.0,,4.0,,3.541,,,,1.0,,3.0,
111,,SASAG,1,,5.0,,1.0,,1.511,,,,1.0,,1.0,
112,,POTA,,,,,,,,,,,,,1.0,
113,,RUACE,5,,4.0,,,,5.4,,,,,,2.0,
114,,GEUM,,,,,,,,,,,,,,
115,,LEON,,,,,,,,,,,,,11.0,
116,,METRI,1,,7.0,,,,1.7,,,,,,1.0,
117,,RUMMA,,,,,,,,,,,,,,
118,,THFLA,5,!,4.0,!,1.0,!,5.412,!,,,2.0,!,1.0,
119,,TRIEU,7,!,3.0,!,1.0,!,7.31,!,,,,,9.0,
120,,CIRS,,,,,,,,,,,,,11.0,
121,,ALOP,,,,,,,,,,,,,,
122,,CHAE,,,,,,,,,,,,,,
123,,SORB,8,,,,,,8,,,,,,10.0,
124,,PRCER,,,,,,,,,,,,,8.0,
125,,BEPUB,x,,,,,,x,,,,,,10.0,!
126,,CLIN,,,,,,,,,,,,,,
127,,PEDPA,1,,7.0,,,,1.7,,,,,,1.0,
128,,CHALB,3.0,,3.0,,,,3.3,,,,,,4.0,
129,,POLCO,3.0,!,4.0,!,,,3.4,!,,,,,7.0,
130,,COAVE,8.0,,4.0,,,,8.4,,,,,,10.0,
131,,VICI,,,,,,,,,,,,,11.0,
132,,CHEN,3.0,,,,,,3.0,,,,,,4.0,
133,,FEALT,8.0,,4.0,,3.0,,8.431,,,,1.0,,10.0,
134,,RUCRI,3.0,!,8.0,!,1.0,!,3.811,!,,,1.0,!,1.0,!
135,,ARUVA,7.0,,2.0,,,,7.2,,,,,,9.0,
136,,RAFIC,8.0,,4.0,,,,8.4,,,,,,10.0,
137,,TRMOD,,,,,,,,,,,,,5.0,
138,,VIVIN,,,,,,,,,,,,,8.0,
139,,EUPH,,,,,,,,,,,,,11.0,
140,,POOLE,3,,,,,,3,,,,,,4.0,
141,,TRDIC,,,,,,,,,,,,,5.0,
142,,SEVEV,(,,,,,,(3.31),,,,,,6.0,
143,,SAMB,,,,,,,,,,,,,10.0,!
144,,TRMOC,,,,,,,,,,,,,5.0,
145,,LECUL,,,,,,,,,,,,,5.0,
146,,PAMIL,,,,,,,,,,,,,5.0,
