system_id,use_category_id,taxon_id,Ess,Gar,Ge,Hü,Imp,Kp,Med,Nut,PCODE,Öl
1,,1,,,,,,,,,AECYN,
2,,2,,,,,,,,,ALNU,
3,,3,,,,,,,,,APIAC,
4,,4,,,,,,,,,ATRI,
5,,5,,,,,,,,,CERA,
6,,6,,,,,,,,,CHALB,
7,,7,,,,,,,,,FRVES,
8,,8,,,,,,,,,GAIS,
9,,9,,,,,,,,,GLHEH,
10,,10,,,,,,,,,HELE,
11,,11,,,,,,,,,PLMAJ,
12,,12,,,,,,,,,POAVI,
13,,13,,,,,,,,,POLCO,
14,,14,,,,,,,,,POLPE,
15,,15,,,,,,,,,PRPAD,
16,,16,,,,,,,,,RANU,
17,,17,,,,,,,,,RUIDA,
18,,18,,,,,,,,,SILE,
19,,19,,,,,,,,,SOLA,
20,,20,,,,,,,,,SPARV,
21,,21,,,,,,,,,STGRA,
22,,22,,,,,,,,,STMES,
23,,23,,,,,,,,,TOJAP,
24,,24,,,,,,,,,URDIO,
25,,25,,,,,,,,,ALGLI,
26,,26,,,,,,,,,BITRI,
27,,27,,,,,,,,,COAVE,
28,,28,,,,,,,,,FIULM,
29,,29,,,,,,,,,HULUP,
30,,30,,,,,,,,,RAFIC,
31,,31,,,,,,,,,SCSIL,
32,,32,,,,,,,,,SIDIO,
33,,33,,,,,,,,,STAC,
34,,34,,,,,,,,,STEL,
35,,35,,,,,,,,,CARE,
36,,36,,,,,,,,,INDET,
37,,37,,,,,,,,,SPAR,
38,,38,,,,,,,,,BETU,
39,,39,,,,,,,,,FRAX,
40,,40,,,,,,,,,PINU,
41,,41,,,,,,,,,PRUN,
42,,42,,,,,,,,,RUCRI,
43,,43,,,,,,,,,AVSAT,
44,,44,,,,,,,,,CEREA,
45,,45,,,,,,,,,GASPU,
46,,46,,,,,,,,,HODIV,
47,,47,,,,,,,,,HODVN,
48,,48,,,,,,,,,HODVS,
49,,49,,,,,,,,,LAMI,
50,,50,,,,,,,,,POLAP,
51,,51,,,,,,,,,CATRI,
52,,52,,,,,,,,,POACE,
53,,53,,,,,,,,,RUMAC,
54,,54,,,,,,,,,THARV,
55,,55,,,,,,,,,GALI,
56,,56,,,,,,,,,RUME,
57,,57,,,,,,,,,SONIG,
58,,58,,,,,,,,,BRAS,
59,,59,,,,,,,,,TRAED,
60,,60,,,,,,,,,LIUSI,
61,,61,,,,,,,,,MEDME,
62,,62,,,,,,,,,TRIT,
63,,63,,,,,,,,,PRVUL,
64,,64,,,,,,,,,MELI,
65,,65,,,,,,,,,VIOL,
66,,66,,,,,,,,,FUOFF,
67,,67,,,,,,,,,PIEXC,
68,,68,,,,,,,,,CENT,
69,,69,,,,,,,,,EUHEL,
70,,70,,,,,,,,,FABAC,
71,,71,,,,,,,,,JUCOC,
72,,72,,,,,,,,,PHLE,
73,,73,,,,,,,,,POPER,
74,,74,,,,,,,,,POTE,
75,,75,,,,,,,,,TRIF,
76,,76,,,,,,,,,TYARU,
77,,77,,,,,,,,,TRDSP,
78,,78,,,,,,,,,ALCH,
79,,79,,,,,,,,,GALAS,
80,,80,,,,,,,,,GAAPA,
81,,81,,,,,,,,,LAPIV,
82,,82,,,,,,,,,CAMSA,
83,,83,,,,,,,,,BROM,
84,,84,,,,,,,,,CHEN,
85,,85,,,,,,,,,CABIC,
86,,86,,,,,,,,,ALGLU,
87,,87,,,,,,,,,ARCMI,
88,,88,,,,,,,,,ASTER,
89,,89,,,,,,,,,BRSEC,
90,,90,,,,,,,,,CECYA,
91,,91,,,,,,,,,COMA,
92,,92,,,,,,,,,HEPAL,
93,,93,,,,,,,,,OXACE,
94,,94,,,,,,,,,POERE,
95,,95,,,,,,,,,RAARE,
96,,96,,,,,,,,,RASCE,
97,,97,,,,,,,,,RUFRU,
98,,98,,,,,,,,,SCTAB,
99,,99,,,,,,,,,SISEL,
100,,100,,,,,,,,,URURE,
101,,101,,,,,,,,,EUPEP,
102,,102,,,,,,,,,FICAR,
103,,103,,,,,,,,,LUMUL,
104,,104,,,,,,,,,PAPA,
105,,105,,,,,,,,,SANIG,
106,,106,,,,,,,,,SECER,
107,,107,,,,,,,,,SODUL,
108,,108,,,,,,,,,STPAL,
109,,109,,,,,,,,,TARA,
110,,110,,,,,,,,,HYNIG,
111,,111,,,,,,,,,SASAG,
112,,112,,,,,,,,,POTA,
113,,113,,,,,,,,,RUACE,
114,,114,,,,,,,,,GEUM,
115,,115,,,,,,,,,LEON,
116,,116,,,,,,,,,METRI,
117,,117,,,,,,,,,RUMMA,
118,,118,,,,,,,,,THFLA,
119,,119,,,,,,,,,TRIEU,
120,,120,,,,,,,,,CIRS,
121,,121,,,,,,,,,ALOP,
122,,122,,,,,,,,,CHAE,
123,,123,,,,,,,,,SORB,
124,,124,,,,,,,,,PRCER,
125,,125,,,,,,,,,BEPUB,
126,,126,,,,,,,,,CLIN,
127,,127,,,,,,,,,PEDPA,
128,,128,,,,,,,,,VICI,
129,,129,,,,,,,,,FEALT,
130,,130,,,,,,,,,ARUVA,
131,,131,,,,,,,,,TRMOD,
132,,132,,,,,,,,,VIVIN,
133,,133,,,,,,,,,EUPH,
134,,134,,,,,,,,,POOLE,
135,,135,,,,,,,,,TRDIC,
136,,136,,,,,,,,,SEVEV,
137,,137,,,,,,,,,SAMB,
138,,138,,,,,,,,,TRMOC,
139,,139,,,,,,,,,LECUL,
140,,140,,,,,,,,,PAMIL,
141,,141,,,,,,,,,PHPRP,
142,,142,,,,,,,,,PISAT,
143,,143,,,,,,,,,SCANA,
144,,144,,,,,,,,,CHRUB,
145,,145,,,,,,,,,ECCRU,
146,,146,,,,,,,,,LITAR,
147,,147,,,,,,,,,MALV,
148,,148,,,,,,,,,VIERV,
149,,149,,,,,,,,,CUMSA,
150,,150,,,,,,,,,LACIS,
151,,151,,,,,,,,,LABIA,
152,,152,,,,,,,,,SEITA,
153,,153,,,,,,,,,MEDI,
154,,154,,,,,,,,,Laleib,
155,,155,,,,,,,,,SALV,
156,,156,,,,,,,,,SCHO,
157,,157,,,,,,,,,SEGLA,
158,,158,,,,,,,,,SETA,
159,,159,,,,,,,,,HOVUL,
160,,160,,,,,,,,,LOTEM,
161,,161,,,,,,,,,Phami,
162,,162,,,,,,,,,LOLI,
163,,163,,,,,,,,,PHAL,
164,,164,,,,,,,,,Polypo,
165,,165,,,,,,,,,ACAC,
166,,166,,,,,,,,,ANGMO,
167,,167,,,,,,,,,CYPE,
168,,168,,,,,,,,,CYPER,
169,,169,,,,,,,,,PHRA,
170,,170,,,,,,,,,Rucrden,
171,,171,,,,,,,,,SOLAN,
172,,172,,,,,,,,,TAMA,
173,,173,,,,,,,,,CUMEL,
174,,174,,,,,,,,,HOVUS,
175,,175,,,,,,,,,VICKF,
176,,176,,,,,,,,,FABAK,
177,,177,,,,,,,,,LahVi,
178,,178,,,,,,,,,CYROT,
179,,179,,,,,,,,,HORD4,
180,,180,,,,,,,,,POGO,
181,,181,,,,,,,,,VIHIT,
182,,182,,,,,,,,,ISOL,
183,,183,,,,,,,,,BOLB,
184,,184,,,,,,,,,LAHIR,
185,,185,,,,,,,,,Fisyc,
186,,186,,,,,,,,,Anpse,
187,,187,,,,,,,,,Cornilot,
188,,188,,,,,,,,,Glilot,
189,,189,,,,,,,,,HORD,
190,,190,,,,,,,,,LITH,
191,,191,,,,,,,,,Aelur,
192,,192,,,,,,,,,ANGRA,
193,,193,,,,,,,,,Ficus,
194,,194,,,,,,,,,FIMB,
195,,195,,,,,,,,,Oryzm,
196,,196,,,,,,,,,Pelaplan,
197,,197,,,,,,,,,SCORP,
198,,198,,,,,,,,,BRASS,
199,,199,,,,,,,,,ORIG,
200,,200,,,,,,,,,ORNI,
201,,201,,,,,,,,,HIVUL,
202,,202,,,,,,,,,ZIJUJ,
203,,203,,,,,,,,,DIGI,
204,,204,,,,,,,,,ECHSE,
205,,205,,,,,,,,,MEDTR,
206,,206,,,,,,,,,VITET,
207,,207,,,,,,,,,PULI,
208,,208,,,,,,,,,ARNE,
209,,209,,,,,,,,,CHENO,
210,,210,,,,,,,,,SHER,
211,,211,,,,,,,,,PANIC,
212,,212,,,,,,,,,LINU,
213,,213,,,,,,,,,JUNC,
214,,214,,,,,,,,,PORT,
215,,215,,,,,,,,,ANCOT,
216,,216,,,,,,,,,AMVIS,
217,,217,,,,,,,,,BEERE,
218,,218,,,,,,,,,CAPP,
219,,219,,,,,,,,,GYMNO,
220,,220,,,,,,,,,VITI,
